*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Thu Mar  7 17:35:07 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        74 |  1.01E+00 |  0.883605 |  0.883605 |      8.00 |      7.00 |  0.029019 |  0.195324 |  1.00E-02 |      0.08 | 
|         1 |       148 |  9.82E-01 |  0.886130 |  0.886130 |      8.00 |      7.00 |  0.026145 |  0.222204 |  1.00E-02 |      0.27 | 
|         1 |       222 |  9.19E-01 |  0.895404 |  0.895404 |      8.00 |      7.00 |  0.538558 |  0.390333 |  1.00E-02 |      0.45 | 
|         1 |       296 |  7.89E-01 |  0.875480 |  0.895404 |      8.00 |      7.00 |  1.254427 |  0.471177 |  9.99E-03 |      0.63 | 
|         1 |       370 |  7.03E-01 |  0.889594 |  0.895404 |      8.00 |      7.00 |  2.754077 |  2.213992 |  9.99E-03 |      0.82 | 
|         1 |       444 |  6.35E-01 |  0.890516 |  0.895404 |      8.00 |      7.00 |  0.126753 |  0.188296 |  9.98E-03 |      1.00 | 
|         1 |       518 |  5.94E-01 |  0.895577 |  0.895577 |      8.00 |      7.00 |  0.757323 |  0.608388 |  9.98E-03 |      1.18 | 
|         1 |       592 |  5.84E-01 |  0.901747 |  0.901747 |      8.00 |      7.00 |  0.650363 |  0.180086 |  9.97E-03 |      1.36 | 
|         1 |       666 |  5.80E-01 |  0.909483 |  0.909483 |      8.00 |      7.00 |  0.207636 |  0.416357 |  9.96E-03 |      1.55 | 
|         1 |       740 |  5.64E-01 |  0.916340 |  0.916340 |      8.00 |      7.00 |  0.403548 |  0.321728 |  9.96E-03 |      1.73 | 
|         1 |       814 |  5.41E-01 |  0.905817 |  0.916340 |      8.00 |      7.00 |  0.289443 |  0.166178 |  9.95E-03 |      1.91 | 
|         1 |       823 |  5.37E-01 |  0.904486 |  0.916340 |      8.00 |      7.00 |  0.381832 |  0.223421 |  9.94E-03 |      2.02 | 
|         2 |        74 |  3.71E-01 |  0.896802 |  0.916340 |      8.00 |      7.00 |  1.893053 |  0.495294 |  9.93E-03 |      2.11 | 
|         2 |       148 |  3.88E-01 |  0.872567 |  0.916340 |      8.00 |      7.00 |  1.529871 |  0.231940 |  9.92E-03 |      2.29 | 
|         2 |       222 |  4.59E-01 |  0.877646 |  0.916340 |      8.00 |      7.00 |  0.641443 |  0.296380 |  9.91E-03 |      2.47 | 
|         2 |       296 |  4.51E-01 |  0.897621 |  0.916340 |      8.00 |      7.00 |  0.902197 |  1.157383 |  9.90E-03 |      2.66 | 
