*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Mar  8 19:19:50 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        74 |  6.58E-01 |  0.880576 |  0.880576 |     11.99 |     11.55 |  0.183240 |  0.237690 |  1.00E-02 |      0.18 | 
|         1 |       148 |  4.13E-01 |  0.900393 |  0.900393 |     12.32 |     11.79 |  0.051889 |  0.095837 |  1.00E-02 |      0.67 | 
|         1 |       222 |  3.09E-01 |  0.900945 |  0.900945 |     12.45 |     11.90 |  0.078732 |  0.088773 |  1.00E-02 |      1.16 | 
|         1 |       296 |  2.80E-01 |  0.898593 |  0.900945 |     12.44 |     11.91 |  0.070609 |  0.121635 |  9.99E-03 |      1.65 | 
|         1 |       370 |  2.41E-01 |  0.905715 |  0.905715 |     12.47 |     11.86 |  0.231325 |  0.386726 |  9.99E-03 |      2.13 | 
|         1 |       444 |  2.13E-01 |  0.902991 |  0.905715 |     12.50 |     11.82 |  0.098708 |  0.163333 |  9.98E-03 |      2.61 | 
|         1 |       518 |  1.93E-01 |  0.906250 |  0.906250 |     12.55 |     11.82 |  0.118302 |  0.161492 |  9.98E-03 |      3.11 | 
|         1 |       592 |  1.76E-01 |  0.892060 |  0.906250 |     12.60 |     11.83 |  0.133264 |  0.156674 |  9.97E-03 |      3.60 | 
|         1 |       666 |  1.65E-01 |  0.906228 |  0.906250 |     12.62 |     11.83 |  0.090828 |  0.154425 |  9.96E-03 |      4.09 | 
|         1 |       740 |  1.53E-01 |  0.897915 |  0.906250 |     12.65 |     11.84 |  0.061372 |  0.070578 |  9.96E-03 |      4.60 | 
|         1 |       814 |  1.45E-01 |  0.861319 |  0.906250 |     12.68 |     11.84 |  0.244915 |  0.410237 |  9.95E-03 |      5.10 | 
|         1 |       823 |  1.44E-01 |  0.885835 |  0.906250 |     12.69 |     11.84 |  0.338705 |  0.523562 |  9.94E-03 |      5.46 | 
|         2 |        74 |  4.07E-02 |  0.897826 |  0.906250 |     13.05 |     11.92 |  0.076120 |  0.119273 |  9.93E-03 |      5.63 | 
|         2 |       148 |  3.66E-02 |  0.866887 |  0.906250 |     13.07 |     12.00 |  0.087148 |  0.155624 |  9.92E-03 |      6.14 | 
|         2 |       222 |  2.95E-02 |  0.887191 |  0.906250 |     13.11 |     12.00 |  0.152940 |  0.260527 |  9.91E-03 |      6.64 | 
|         2 |       296 |  3.92E-02 |  0.879630 |  0.906250 |     13.12 |     12.06 |  0.041462 |  0.042909 |  9.90E-03 |      7.14 | 
|         2 |       370 |  3.43E-02 |  0.907796 |  0.907796 |     13.17 |     12.07 |  0.156380 |  0.244619 |  9.88E-03 |      7.65 | 
|         2 |       444 |  3.15E-02 |  0.864353 |  0.907796 |     13.19 |     12.07 |  0.263617 |  0.260353 |  9.87E-03 |      8.16 | 
|         2 |       518 |  3.43E-02 |  0.876682 |  0.907796 |     13.25 |     12.15 |  0.171114 |  0.247687 |  9.85E-03 |      8.67 | 
|         2 |       592 |  3.19E-02 |  0.910976 |  0.910976 |     13.31 |     12.16 |  0.215293 |  0.284919 |  9.84E-03 |      9.19 | 
|         2 |       666 |  2.99E-02 |  0.902833 |  0.910976 |     13.37 |     12.17 |  0.109757 |  0.129157 |  9.82E-03 |      9.71 | 
|         2 |       740 |  2.80E-02 |  0.887693 |  0.910976 |     13.43 |     12.18 |  0.053468 |  0.041215 |  9.80E-03 |     10.23 | 
|         2 |       814 |  3.30E-02 |  0.914106 |  0.914106 |     13.48 |     12.24 |  0.301023 |  0.333999 |  9.78E-03 |     10.75 | 
|         2 |       823 |  3.33E-02 |  0.899679 |  0.914106 |     13.48 |     12.25 |  0.225248 |  0.298757 |  9.78E-03 |     11.14 | 
|         3 |        74 |  6.60E-02 |  0.882177 |  0.914106 |     13.95 |     12.84 |  0.489473 |  0.318530 |  9.76E-03 |     11.32 | 
|         3 |       148 |  4.13E-02 |  0.893647 |  0.914106 |     14.01 |     12.75 |  0.094916 |  0.119672 |  9.74E-03 |     11.85 | 
|         3 |       222 |  3.06E-02 |  0.901639 |  0.914106 |     14.08 |     12.68 |  0.099762 |  0.093333 |  9.72E-03 |     12.39 | 
|         3 |       296 |  4.30E-02 |  0.909404 |  0.914106 |     14.18 |     12.89 |  0.119263 |  0.183166 |  9.69E-03 |     12.94 | 
|         3 |       370 |  4.05E-02 |  0.891608 |  0.914106 |     14.29 |     13.00 |  0.079801 |  0.071537 |  9.67E-03 |     13.49 | 
|         3 |       444 |  3.63E-02 |  0.910558 |  0.914106 |     14.40 |     13.05 |  0.061763 |  0.071573 |  9.65E-03 |     14.04 | 
|         3 |       518 |  3.35E-02 |  0.919224 |  0.919224 |     14.48 |     13.08 |  0.133985 |  0.148145 |  9.62E-03 |     14.61 | 
|         3 |       592 |  3.07E-02 |  0.911009 |  0.919224 |     14.53 |     13.11 |  0.069943 |  0.082510 |  9.60E-03 |     15.19 | 
|         3 |       666 |  2.82E-02 |  0.898803 |  0.919224 |     14.59 |     13.12 |  0.105850 |  0.110761 |  9.57E-03 |     15.75 | 
|         3 |       740 |  2.90E-02 |  0.888501 |  0.919224 |     14.64 |     13.18 |  0.102750 |  0.151674 |  9.54E-03 |     16.33 | 
|         3 |       814 |  2.78E-02 |  0.887257 |  0.919224 |     14.70 |     13.20 |  0.215600 |  0.241576 |  9.51E-03 |     16.89 | 
|         3 |       823 |  2.76E-02 |  0.890449 |  0.919224 |     14.70 |     13.20 |  0.141584 |  0.145089 |  9.51E-03 |     17.29 | 
|         4 |        74 |  1.55E-02 |  0.899378 |  0.919224 |     15.41 |     13.70 |  1.685903 |  0.305327 |  9.48E-03 |     17.48 | 
|         4 |       148 |  2.63E-02 |  0.899649 |  0.919224 |     15.56 |     13.96 |  0.073917 |  0.064691 |  9.45E-03 |     18.05 | 
|         4 |       222 |  4.13E-02 |  0.886162 |  0.919224 |     15.57 |     14.09 |  0.095244 |  0.084820 |  9.42E-03 |     18.63 | 
|         4 |       296 |  3.39E-02 |  0.881705 |  0.919224 |     15.55 |     14.06 |  0.117606 |  0.108952 |  9.39E-03 |     19.20 | 
|         4 |       370 |  2.88E-02 |  0.889915 |  0.919224 |     15.56 |     14.01 |  0.205884 |  0.087278 |  9.36E-03 |     19.78 | 
|         4 |       444 |  2.50E-02 |  0.878443 |  0.919224 |     15.59 |     13.97 |  0.088295 |  0.086465 |  9.32E-03 |     20.35 | 
|         4 |       518 |  2.26E-02 |  0.897815 |  0.919224 |     15.62 |     13.93 |  0.151590 |  0.133929 |  9.29E-03 |     20.93 | 
|         4 |       592 |  2.31E-02 |  0.806608 |  0.919224 |     15.66 |     13.95 |  0.445784 |  0.442452 |  9.25E-03 |     21.50 | 
|         4 |       666 |  2.19E-02 |  0.891989 |  0.919224 |     15.70 |     13.98 |  0.122694 |  0.135586 |  9.22E-03 |     22.09 | 
|         4 |       740 |  2.05E-02 |  0.897196 |  0.919224 |     15.75 |     14.00 |  0.033555 |  0.041450 |  9.18E-03 |     22.67 | 
|         4 |       814 |  2.12E-02 |  0.903226 |  0.919224 |     15.80 |     14.04 |  0.116159 |  0.089694 |  9.15E-03 |     23.25 | 
|         4 |       823 |  2.14E-02 |  0.911111 |  0.919224 |     15.80 |     14.05 |  0.084194 |  0.105321 |  9.14E-03 |     23.67 | 
|         5 |        74 |  6.94E-02 |  0.887952 |  0.919224 |     16.16 |     15.01 |  0.134678 |  0.123799 |  9.10E-03 |     23.88 | 
|         5 |       148 |  5.23E-02 |  0.883721 |  0.919224 |     16.08 |     15.05 |  0.123684 |  0.156928 |  9.06E-03 |     24.46 | 
|         5 |       222 |  4.99E-02 |  0.909026 |  0.919224 |     16.08 |     15.10 |  0.172068 |  0.154304 |  9.03E-03 |     25.06 | 
|         5 |       296 |  4.41E-02 |  0.917892 |  0.919224 |     16.14 |     15.16 |  0.262008 |  0.259952 |  8.99E-03 |     25.64 | 
|         5 |       370 |  5.61E-02 |  0.907936 |  0.919224 |     16.17 |     15.27 |  0.102102 |  0.097402 |  8.94E-03 |     26.23 | 
|         5 |       444 |  4.90E-02 |  0.898604 |  0.919224 |     16.23 |     15.22 |  0.149352 |  0.144973 |  8.90E-03 |     26.82 | 
|         5 |       518 |  4.39E-02 |  0.906667 |  0.919224 |     16.30 |     15.20 |  0.095465 |  0.074632 |  8.86E-03 |     27.43 | 
|         5 |       592 |  3.97E-02 |  0.907321 |  0.919224 |     16.40 |     15.21 |  0.201421 |  0.183558 |  8.82E-03 |     28.03 | 
|         5 |       666 |  3.63E-02 |  0.907984 |  0.919224 |     16.48 |     15.20 |  0.055144 |  0.056246 |  8.78E-03 |     28.63 | 
|         5 |       740 |  3.41E-02 |  0.869976 |  0.919224 |     16.55 |     15.23 |  0.100340 |  0.073285 |  8.73E-03 |     29.23 | 
|         5 |       814 |  3.30E-02 |  0.882619 |  0.919224 |     16.61 |     15.29 |  0.647533 |  0.488027 |  8.69E-03 |     29.86 | 
|         5 |       823 |  3.31E-02 |  0.897238 |  0.919224 |     16.61 |     15.30 |  0.147155 |  0.124109 |  8.68E-03 |     30.30 | 
|         6 |        74 |  2.20E-02 |  0.903436 |  0.919224 |     17.04 |     15.31 |  0.100066 |  0.089594 |  8.64E-03 |     30.51 | 
|         6 |       148 |  8.89E-02 |  0.917529 |  0.919224 |     17.04 |     15.62 |  0.087567 |  0.072183 |  8.59E-03 |     31.11 | 
|         6 |       222 |  6.28E-02 |  0.911464 |  0.919224 |     17.13 |     15.58 |  0.187038 |  0.154750 |  8.54E-03 |     31.71 | 
|         6 |       296 |  4.92E-02 |  0.904468 |  0.919224 |     17.24 |     15.53 |  0.098997 |  0.071745 |  8.50E-03 |     32.33 | 
|         6 |       370 |  4.13E-02 |  0.901501 |  0.919224 |     17.36 |     15.57 |  0.085933 |  0.071518 |  8.45E-03 |     32.95 | 
|         6 |       444 |  3.58E-02 |  0.869308 |  0.919224 |     17.43 |     15.61 |  0.189693 |  0.157137 |  8.40E-03 |     33.57 | 
|         6 |       518 |  3.19E-02 |  0.911392 |  0.919224 |     17.50 |     15.64 |  0.199856 |  0.195878 |  8.35E-03 |     34.20 | 
|         6 |       592 |  2.88E-02 |  0.894908 |  0.919224 |     17.55 |     15.64 |  0.040435 |  0.035367 |  8.30E-03 |     34.82 | 
|         6 |       666 |  2.82E-02 |  0.899674 |  0.919224 |     17.60 |     15.73 |  0.138296 |  0.128649 |  8.25E-03 |     35.44 | 
|         6 |       740 |  2.74E-02 |  0.899892 |  0.919224 |     17.63 |     15.82 |  0.111067 |  0.056385 |  8.20E-03 |     36.07 | 
|         6 |       814 |  2.68E-02 |  0.894578 |  0.919224 |     17.66 |     15.87 |  0.091741 |  0.074473 |  8.15E-03 |     36.70 | 
|         6 |       823 |  2.69E-02 |  0.896848 |  0.919224 |     17.66 |     15.88 |  0.154481 |  0.118410 |  8.15E-03 |     37.14 | 
|         7 |        74 |  7.82E-02 |  0.882010 |  0.919224 |     18.28 |     17.26 |  0.364867 |  0.333372 |  8.09E-03 |     37.36 | 
|         7 |       148 |  7.15E-02 |  0.892118 |  0.919224 |     17.51 |     16.70 |  0.205107 |  0.167413 |  8.04E-03 |     37.96 | 
|         7 |       222 |  5.45E-02 |  0.905620 |  0.919224 |     17.23 |     16.25 |  0.217994 |  0.071292 |  7.99E-03 |     38.55 | 
|         7 |       296 |  4.35E-02 |  0.897464 |  0.919224 |     17.12 |     16.01 |  0.098648 |  0.084944 |  7.94E-03 |     39.14 | 
|         7 |       370 |  4.05E-02 |  0.902748 |  0.919224 |     17.12 |     15.93 |  0.283230 |  0.213264 |  7.88E-03 |     39.74 | 
|         7 |       444 |  3.58E-02 |  0.880825 |  0.919224 |     17.11 |     15.86 |  0.105129 |  0.083883 |  7.83E-03 |     40.35 | 
|         7 |       518 |  3.17E-02 |  0.890416 |  0.919224 |     17.09 |     15.78 |  0.105313 |  0.085586 |  7.77E-03 |     40.96 | 
|         7 |       592 |  2.88E-02 |  0.890007 |  0.919224 |     17.11 |     15.77 |  0.063451 |  0.051840 |  7.72E-03 |     41.56 | 
