*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Feb 17 12:44:58 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  1.01E+00 |  0.937121 |  0.937121 |     10.08 |     10.05 |  0.041284 |  0.139064 |  1.00E-02 |      0.14 | 
|         1 |        74 |  1.02E+00 |  0.937598 |  0.937598 |     10.11 |     10.22 |  0.071365 |  0.253972 |  1.00E-02 |      0.44 | 
|         1 |       111 |  9.66E-01 |  0.930334 |  0.937598 |     10.55 |     10.59 |  0.136632 |  0.263332 |  1.00E-02 |      0.76 | 
|         1 |       148 |  8.16E-01 |  0.930101 |  0.937598 |     11.36 |     11.20 |  0.328943 |  0.275206 |  9.99E-03 |      1.11 | 
|         1 |       185 |  6.95E-01 |  0.923882 |  0.937598 |     11.91 |     11.56 |  0.337134 |  0.145705 |  9.99E-03 |      1.47 | 
|         1 |       222 |  6.05E-01 |  0.929934 |  0.937598 |     12.35 |     11.79 |  0.332410 |  0.314798 |  9.98E-03 |      1.84 | 
|         1 |       259 |  5.42E-01 |  0.927183 |  0.937598 |     12.63 |     11.91 |  0.114860 |  0.104120 |  9.98E-03 |      2.21 | 
|         1 |       296 |  5.00E-01 |  0.908476 |  0.937598 |     12.83 |     12.02 |  0.251496 |  0.146174 |  9.97E-03 |      2.57 | 
|         1 |       333 |  4.58E-01 |  0.917368 |  0.937598 |     12.95 |     12.05 |  0.243526 |  0.137890 |  9.96E-03 |      2.93 | 
|         1 |       370 |  4.20E-01 |  0.923022 |  0.937598 |     13.07 |     12.14 |  0.161028 |  0.087157 |  9.95E-03 |      3.29 | 
|         1 |       407 |  3.90E-01 |  0.928971 |  0.937598 |     13.16 |     12.21 |  0.299924 |  0.226140 |  9.94E-03 |      3.65 | 
|         2 |        37 |  5.90E-02 |  0.927106 |  0.937598 |     13.92 |     12.54 |  0.281343 |  0.123461 |  9.93E-03 |      3.78 | 
|         2 |        74 |  5.18E-02 |  0.921677 |  0.937598 |     13.85 |     12.46 |  0.127598 |  0.084563 |  9.92E-03 |      4.13 | 
|         2 |       111 |  4.74E-02 |  0.935858 |  0.937598 |     13.79 |     12.38 |  0.858048 |  0.482364 |  9.91E-03 |      4.49 | 
|         2 |       148 |  4.63E-02 |  0.919396 |  0.937598 |     13.71 |     12.32 |  0.102798 |  0.058404 |  9.90E-03 |      4.83 | 
|         2 |       185 |  4.54E-02 |  0.919169 |  0.937598 |     13.66 |     12.29 |  0.182848 |  0.168466 |  9.88E-03 |      5.19 | 
|         2 |       222 |  4.36E-02 |  0.918761 |  0.937598 |     13.60 |     12.26 |  0.198712 |  0.124661 |  9.87E-03 |      5.54 | 
|         2 |       259 |  4.35E-02 |  0.910781 |  0.937598 |     13.57 |     12.29 |  0.340539 |  0.292694 |  9.85E-03 |      5.90 | 
|         2 |       296 |  4.25E-02 |  0.909841 |  0.937598 |     13.53 |     12.27 |  0.083918 |  0.103465 |  9.84E-03 |      6.25 | 
|         2 |       333 |  4.12E-02 |  0.922202 |  0.937598 |     13.51 |     12.25 |  0.111223 |  0.123061 |  9.82E-03 |      6.60 | 
|         2 |       370 |  4.10E-02 |  0.949831 |  0.949831 |     13.51 |     12.24 |  0.724375 |  0.262869 |  9.80E-03 |      6.96 | 
|         2 |       407 |  4.10E-02 |  0.944737 |  0.949831 |     13.50 |     12.24 |  0.325873 |  0.270544 |  9.78E-03 |      7.32 | 
|         3 |        37 |  3.57E-02 |  0.920767 |  0.949831 |     13.35 |     12.32 |  0.078469 |  0.049694 |  9.76E-03 |      7.45 | 
|         3 |        74 |  3.48E-02 |  0.908187 |  0.949831 |     13.34 |     12.31 |  0.119146 |  0.102438 |  9.74E-03 |      7.80 | 
|         3 |       111 |  3.44E-02 |  0.907361 |  0.949831 |     13.40 |     12.26 |  0.196154 |  0.053137 |  9.72E-03 |      8.16 | 
|         3 |       148 |  3.45E-02 |  0.904165 |  0.949831 |     13.37 |     12.25 |  0.066623 |  0.065809 |  9.69E-03 |      8.52 | 
|         3 |       185 |  3.25E-02 |  0.922841 |  0.949831 |     13.41 |     12.24 |  0.115391 |  0.057742 |  9.67E-03 |      8.87 | 
|         3 |       222 |  3.10E-02 |  0.904157 |  0.949831 |     13.43 |     12.23 |  0.131004 |  0.093953 |  9.65E-03 |      9.23 | 
|         3 |       259 |  2.95E-02 |  0.903488 |  0.949831 |     13.47 |     12.20 |  0.129924 |  0.107134 |  9.62E-03 |      9.59 | 
|         3 |       296 |  2.82E-02 |  0.923573 |  0.949831 |     13.52 |     12.20 |  0.154273 |  0.157397 |  9.59E-03 |      9.95 | 
|         3 |       333 |  2.75E-02 |  0.925517 |  0.949831 |     13.56 |     12.21 |  0.057994 |  0.059296 |  9.57E-03 |     10.31 | 
|         3 |       370 |  2.67E-02 |  0.928492 |  0.949831 |     13.60 |     12.21 |  0.303568 |  0.260039 |  9.54E-03 |     10.67 | 
|         3 |       407 |  2.55E-02 |  0.924932 |  0.949831 |     13.63 |     12.20 |  0.094881 |  0.078515 |  9.51E-03 |     11.03 | 
|         4 |        37 |  1.67E-02 |  0.933202 |  0.949831 |     14.00 |     12.22 |  0.103638 |  0.073358 |  9.48E-03 |     11.16 | 
|         4 |        74 |  1.42E-02 |  0.922876 |  0.949831 |     14.03 |     12.16 |  0.137598 |  0.064740 |  9.45E-03 |     11.52 | 
|         4 |       111 |  1.44E-02 |  0.918154 |  0.949831 |     14.03 |     12.18 |  0.049511 |  0.032205 |  9.42E-03 |     11.88 | 
|         4 |       148 |  1.54E-02 |  0.928039 |  0.949831 |     14.03 |     12.20 |  0.648608 |  0.331222 |  9.39E-03 |     12.24 | 
|         4 |       185 |  1.56E-02 |  0.918289 |  0.949831 |     14.02 |     12.20 |  0.074732 |  0.049256 |  9.35E-03 |     12.59 | 
|         4 |       222 |  1.48E-02 |  0.920676 |  0.949831 |     14.02 |     12.19 |  0.046617 |  0.053830 |  9.32E-03 |     12.95 | 
|         4 |       259 |  1.43E-02 |  0.919331 |  0.949831 |     14.02 |     12.19 |  0.091610 |  0.047541 |  9.29E-03 |     13.31 | 
|         4 |       296 |  1.39E-02 |  0.899305 |  0.949831 |     14.03 |     12.18 |  0.164153 |  0.136375 |  9.25E-03 |     13.66 | 
|         4 |       333 |  1.37E-02 |  0.926508 |  0.949831 |     14.03 |     12.18 |  0.183778 |  0.071008 |  9.21E-03 |     14.01 | 
|         4 |       370 |  1.34E-02 |  0.914540 |  0.949831 |     14.02 |     12.18 |  0.101064 |  0.064629 |  9.18E-03 |     14.37 | 
|         4 |       407 |  1.31E-02 |  0.909499 |  0.949831 |     14.02 |     12.18 |  0.149824 |  0.070647 |  9.14E-03 |     14.73 | 
|         5 |        37 |  1.09E-02 |  0.912843 |  0.949831 |     14.05 |     12.16 |  0.045099 |  0.029723 |  9.10E-03 |     14.87 | 
|         5 |        74 |  1.07E-02 |  0.924548 |  0.949831 |     14.08 |     12.15 |  0.069194 |  0.030992 |  9.06E-03 |     15.23 | 
|         5 |       111 |  1.08E-02 |  0.914905 |  0.949831 |     14.06 |     12.13 |  0.047154 |  0.031635 |  9.02E-03 |     15.59 | 
|         5 |       148 |  1.10E-02 |  0.914435 |  0.949831 |     14.05 |     12.15 |  0.069413 |  0.053008 |  8.98E-03 |     15.95 | 
|         5 |       185 |  1.08E-02 |  0.923439 |  0.949831 |     14.06 |     12.14 |  0.167948 |  0.047120 |  8.94E-03 |     16.30 | 
|         5 |       222 |  1.07E-02 |  0.914426 |  0.949831 |     14.06 |     12.14 |  0.055523 |  0.055629 |  8.90E-03 |     16.67 | 
|         5 |       259 |  1.05E-02 |  0.905187 |  0.949831 |     14.06 |     12.13 |  0.046376 |  0.040992 |  8.86E-03 |     17.03 | 
|         5 |       296 |  1.04E-02 |  0.917347 |  0.949831 |     14.06 |     12.12 |  0.198667 |  0.074015 |  8.82E-03 |     17.38 | 
|         5 |       333 |  1.03E-02 |  0.908586 |  0.949831 |     14.06 |     12.14 |  0.071880 |  0.052716 |  8.77E-03 |     17.74 | 
|         5 |       370 |  1.01E-02 |  0.912049 |  0.949831 |     14.06 |     12.13 |  0.049262 |  0.037979 |  8.73E-03 |     18.10 | 
|         5 |       407 |  1.05E-02 |  0.941353 |  0.949831 |     14.06 |     12.15 |  0.444069 |  0.371496 |  8.68E-03 |     18.46 | 
|         6 |        37 |  1.43E-02 |  0.935092 |  0.949831 |     14.05 |     12.22 |  0.080235 |  0.077101 |  8.64E-03 |     18.60 | 
|         6 |        74 |  1.20E-02 |  0.926875 |  0.949831 |     14.08 |     12.14 |  0.075024 |  0.060344 |  8.59E-03 |     18.96 | 
|         6 |       111 |  1.12E-02 |  0.917507 |  0.949831 |     14.08 |     12.14 |  0.051261 |  0.041023 |  8.54E-03 |     19.33 | 
|         6 |       148 |  1.06E-02 |  0.921257 |  0.949831 |     14.09 |     12.14 |  0.078017 |  0.065921 |  8.50E-03 |     19.69 | 
|         6 |       185 |  9.95E-03 |  0.923754 |  0.949831 |     14.13 |     12.11 |  0.068323 |  0.038373 |  8.45E-03 |     20.06 | 
|         6 |       222 |  9.56E-03 |  0.935111 |  0.949831 |     14.17 |     12.10 |  0.141309 |  0.060852 |  8.40E-03 |     20.43 | 
|         6 |       259 |  9.58E-03 |  0.920672 |  0.949831 |     14.15 |     12.11 |  0.072130 |  0.036258 |  8.35E-03 |     20.80 | 
|         6 |       296 |  9.85E-03 |  0.923518 |  0.949831 |     14.16 |     12.14 |  0.046750 |  0.047618 |  8.30E-03 |     21.16 | 
|         6 |       333 |  9.65E-03 |  0.914084 |  0.949831 |     14.16 |     12.14 |  0.070436 |  0.057301 |  8.25E-03 |     21.53 | 
|         6 |       370 |  9.44E-03 |  0.916068 |  0.949831 |     14.16 |     12.13 |  0.054010 |  0.049594 |  8.20E-03 |     21.89 | 
|         6 |       407 |  9.35E-03 |  0.927996 |  0.949831 |     14.15 |     12.13 |  0.078815 |  0.042364 |  8.15E-03 |     22.25 | 
|         7 |        37 |  7.40E-03 |  0.910086 |  0.949831 |     14.08 |     12.08 |  0.049897 |  0.039624 |  8.09E-03 |     22.39 | 
