*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Feb 16 22:28:34 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  7.37E-01 |  0.937609 |  0.937609 |     15.03 |     14.89 |  0.128613 |  0.127184 |  1.00E-02 |      0.22 | 
|         1 |        74 |  4.97E-01 |  0.934133 |  0.937609 |     15.46 |     15.30 |  0.094850 |  0.219743 |  1.00E-02 |      0.70 | 
|         1 |       111 |  4.07E-01 |  0.934423 |  0.937609 |     15.66 |     15.39 |  0.421425 |  0.693354 |  1.00E-02 |      1.19 | 
|         1 |       148 |  3.40E-01 |  0.941881 |  0.941881 |     15.94 |     15.36 |  0.210152 |  0.340948 |  9.99E-03 |      1.70 | 
|         1 |       185 |  2.92E-01 |  0.946183 |  0.946183 |     16.09 |     15.35 |  0.081931 |  0.154232 |  9.99E-03 |      2.20 | 
|         1 |       222 |  2.56E-01 |  0.944377 |  0.946183 |     16.13 |     15.22 |  0.143148 |  0.158910 |  9.98E-03 |      2.70 | 
|         1 |       259 |  2.34E-01 |  0.939268 |  0.946183 |     16.19 |     15.21 |  0.057395 |  0.065274 |  9.98E-03 |      3.20 | 
|         1 |       296 |  2.12E-01 |  0.944305 |  0.946183 |     16.26 |     15.22 |  0.071831 |  0.092070 |  9.97E-03 |      3.71 | 
|         1 |       333 |  1.93E-01 |  0.937607 |  0.946183 |     16.29 |     15.23 |  0.060421 |  0.061916 |  9.96E-03 |      4.22 | 
|         1 |       370 |  1.83E-01 |  0.934710 |  0.946183 |     16.34 |     15.26 |  0.103021 |  0.076554 |  9.95E-03 |      4.72 | 
|         1 |       407 |  1.68E-01 |  0.939202 |  0.946183 |     16.40 |     15.28 |  0.087424 |  0.137833 |  9.94E-03 |      5.22 | 
|         2 |        37 |  9.30E-02 |  0.944837 |  0.946183 |     17.05 |     15.51 |  0.324674 |  0.369366 |  9.93E-03 |      5.45 | 
|         2 |        74 |  7.98E-02 |  0.929048 |  0.946183 |     17.32 |     15.84 |  0.072042 |  0.079796 |  9.92E-03 |      5.97 | 
|         2 |       111 |  6.01E-02 |  0.929719 |  0.946183 |     17.60 |     15.82 |  0.057061 |  0.062729 |  9.91E-03 |      6.49 | 
|         2 |       148 |  5.32E-02 |  0.935570 |  0.946183 |     17.72 |     15.82 |  0.173012 |  0.116060 |  9.90E-03 |      7.02 | 
|         2 |       185 |  4.79E-02 |  0.926026 |  0.946183 |     17.86 |     15.85 |  0.102521 |  0.107500 |  9.88E-03 |      7.56 | 
|         2 |       222 |  4.55E-02 |  0.932550 |  0.946183 |     18.01 |     15.95 |  0.119142 |  0.138008 |  9.87E-03 |      8.09 | 
|         2 |       259 |  4.09E-02 |  0.924772 |  0.946183 |     18.14 |     15.98 |  0.069249 |  0.076473 |  9.85E-03 |      8.63 | 
|         2 |       296 |  3.73E-02 |  0.926418 |  0.946183 |     18.25 |     15.98 |  0.109933 |  0.121476 |  9.84E-03 |      9.17 | 
|         2 |       333 |  3.44E-02 |  0.932408 |  0.946183 |     18.36 |     15.98 |  0.038915 |  0.037112 |  9.82E-03 |      9.72 | 
|         2 |       370 |  3.18E-02 |  0.930307 |  0.946183 |     18.44 |     15.98 |  0.052642 |  0.054044 |  9.80E-03 |     10.26 | 
|         2 |       407 |  3.22E-02 |  0.889137 |  0.946183 |     18.49 |     16.02 |  0.468705 |  0.487321 |  9.78E-03 |     10.81 | 
|         3 |        37 |  4.15E-02 |  0.950910 |  0.950910 |     19.35 |     16.73 |  0.319681 |  0.223800 |  9.76E-03 |     11.05 | 
|         3 |        74 |  3.19E-02 |  0.917919 |  0.950910 |     19.42 |     16.73 |  0.593897 |  0.142504 |  9.74E-03 |     11.60 | 
|         3 |       111 |  2.50E-02 |  0.944528 |  0.950910 |     19.59 |     16.83 |  0.211131 |  0.210841 |  9.72E-03 |     12.16 | 
|         3 |       148 |  2.18E-02 |  0.922175 |  0.950910 |     19.68 |     16.91 |  0.067025 |  0.058876 |  9.69E-03 |     12.73 | 
|         3 |       185 |  2.49E-02 |  0.931720 |  0.950910 |     19.77 |     17.07 |  0.387869 |  0.197549 |  9.67E-03 |     13.30 | 
|         3 |       222 |  2.32E-02 |  0.921318 |  0.950910 |     19.89 |     17.15 |  0.065338 |  0.063386 |  9.65E-03 |     13.86 | 
|         3 |       259 |  2.24E-02 |  0.926371 |  0.950910 |     20.00 |     17.23 |  0.094670 |  0.096985 |  9.62E-03 |     14.43 | 
|         3 |       296 |  2.09E-02 |  0.926225 |  0.950910 |     20.10 |     17.29 |  0.168783 |  0.169239 |  9.59E-03 |     15.01 | 
|         3 |       333 |  1.96E-02 |  0.927595 |  0.950910 |     20.12 |     17.30 |  0.044252 |  0.044681 |  9.57E-03 |     15.58 | 
|         3 |       370 |  1.83E-02 |  0.920972 |  0.950910 |     20.16 |     17.28 |  0.129916 |  0.130301 |  9.54E-03 |     16.15 | 
|         3 |       407 |  2.42E-02 |  0.943317 |  0.950910 |     20.21 |     17.38 |  0.082952 |  0.083801 |  9.51E-03 |     16.72 | 
|         4 |        37 |  9.02E-03 |  0.928826 |  0.950910 |     22.49 |     19.65 |  0.038793 |  0.039535 |  9.48E-03 |     16.99 | 
|         4 |        74 |  9.93E-03 |  0.913343 |  0.950910 |     22.64 |     19.50 |  0.151673 |  0.078281 |  9.45E-03 |     17.60 | 
|         4 |       111 |  9.43E-03 |  0.933812 |  0.950910 |     22.63 |     19.37 |  0.091344 |  0.092196 |  9.42E-03 |     18.20 | 
|         4 |       148 |  8.74E-03 |  0.925199 |  0.950910 |     22.61 |     19.36 |  0.089733 |  0.062792 |  9.39E-03 |     18.81 | 
|         4 |       185 |  8.52E-03 |  0.922876 |  0.950910 |     22.57 |     19.23 |  0.053040 |  0.052195 |  9.35E-03 |     19.41 | 
|         4 |       222 |  9.46E-03 |  0.941397 |  0.950910 |     22.57 |     19.23 |  0.118952 |  0.082183 |  9.32E-03 |     19.98 | 
|         4 |       259 |  9.08E-03 |  0.932363 |  0.950910 |     22.56 |     19.22 |  0.125633 |  0.078628 |  9.29E-03 |     20.56 | 
|         4 |       296 |  8.70E-03 |  0.906487 |  0.950910 |     22.56 |     19.18 |  0.195880 |  0.097689 |  9.25E-03 |     21.14 | 
|         4 |       333 |  8.43E-03 |  0.912492 |  0.950910 |     22.55 |     19.14 |  0.085088 |  0.065806 |  9.21E-03 |     21.71 | 
|         4 |       370 |  9.47E-03 |  0.911750 |  0.950910 |     22.54 |     19.14 |  0.204102 |  0.201023 |  9.18E-03 |     22.28 | 
|         4 |       407 |  1.06E-02 |  0.919462 |  0.950910 |     22.49 |     19.17 |  0.229038 |  0.207661 |  9.14E-03 |     22.85 | 
|         5 |        37 |  7.46E-02 |  0.931311 |  0.950910 |     22.95 |     21.51 |  0.096569 |  0.043758 |  9.10E-03 |     23.10 | 
|         5 |        74 |  4.28E-02 |  0.929635 |  0.950910 |     23.62 |     21.35 |  0.313137 |  0.197219 |  9.06E-03 |     23.70 | 
|         5 |       111 |  1.49E-01 |  0.927479 |  0.950910 |     25.85 |     24.30 |  0.353841 |  0.298495 |  9.02E-03 |     24.35 | 
|         5 |       148 |  1.24E-01 |  0.945680 |  0.950910 |     28.20 |     26.21 |  0.049480 |  0.041309 |  8.98E-03 |     25.16 | 
|         5 |       185 |  1.08E-01 |  0.932159 |  0.950910 |     29.71 |     26.99 |  0.175900 |  0.116332 |  8.94E-03 |     25.94 | 
|         5 |       222 |  9.22E-02 |  0.931389 |  0.950910 |     30.37 |     27.39 |  0.085079 |  0.056303 |  8.90E-03 |     26.70 | 
|         5 |       259 |  8.08E-02 |  0.922150 |  0.950910 |     30.83 |     27.56 |  0.129942 |  0.114381 |  8.86E-03 |     27.47 | 
|         5 |       296 |  7.17E-02 |  0.927156 |  0.950910 |     31.16 |     27.65 |  0.028095 |  0.023312 |  8.82E-03 |     28.21 | 
|         5 |       333 |  6.59E-02 |  0.925171 |  0.950910 |     31.45 |     27.74 |  0.069761 |  0.057412 |  8.77E-03 |     28.96 | 
|         5 |       370 |  6.01E-02 |  0.927336 |  0.950910 |     31.51 |     27.68 |  0.065844 |  0.051478 |  8.73E-03 |     29.70 | 
|         5 |       407 |  5.56E-02 |  0.927910 |  0.950910 |     31.57 |     27.58 |  0.065514 |  0.055012 |  8.68E-03 |     30.43 | 
|         6 |        37 |  1.50E-02 |  0.929396 |  0.950910 |     30.97 |     25.97 |  0.073633 |  0.079304 |  8.64E-03 |     30.73 | 
|         6 |        74 |  1.70E-02 |  0.919903 |  0.950910 |     30.95 |     25.74 |  0.081422 |  0.037604 |  8.59E-03 |     31.44 | 
|         6 |       111 |  1.45E-02 |  0.927522 |  0.950910 |     30.59 |     25.66 |  0.079322 |  0.071159 |  8.54E-03 |     32.14 | 
|         6 |       148 |  1.87E-02 |  0.930972 |  0.950910 |     30.47 |     25.86 |  0.096267 |  0.078990 |  8.50E-03 |     32.83 | 
|         6 |       185 |  1.64E-02 |  0.934522 |  0.950910 |     30.32 |     25.91 |  0.046475 |  0.037936 |  8.45E-03 |     33.53 | 
|         6 |       222 |  1.45E-02 |  0.923342 |  0.950910 |     30.15 |     25.67 |  0.132971 |  0.078854 |  8.40E-03 |     34.20 | 
|         6 |       259 |  1.32E-02 |  0.917775 |  0.950910 |     30.01 |     25.47 |  0.047144 |  0.036635 |  8.35E-03 |     34.88 | 
|         6 |       296 |  1.22E-02 |  0.925390 |  0.950910 |     29.98 |     25.43 |  0.041337 |  0.035058 |  8.30E-03 |     35.57 | 
|         6 |       333 |  1.13E-02 |  0.926802 |  0.950910 |     29.86 |     25.31 |  0.060485 |  0.047158 |  8.25E-03 |     36.25 | 
|         6 |       370 |  1.07E-02 |  0.919339 |  0.950910 |     29.80 |     25.24 |  0.068629 |  0.061693 |  8.20E-03 |     36.93 | 
|         6 |       407 |  1.01E-02 |  0.925474 |  0.950910 |     29.77 |     25.23 |  0.035136 |  0.031057 |  8.15E-03 |     37.61 | 
|         7 |        37 |  1.11E-02 |  0.937739 |  0.950910 |     29.35 |     25.68 |  0.053919 |  0.045045 |  8.09E-03 |     37.90 | 
|         7 |        74 |  7.87E-03 |  0.917992 |  0.950910 |     29.23 |     25.08 |  0.082976 |  0.065101 |  8.04E-03 |     38.59 | 
|         7 |       111 |  7.30E-03 |  0.926619 |  0.950910 |     29.20 |     24.88 |  0.201774 |  0.165706 |  7.99E-03 |     39.27 | 
|         7 |       148 |  1.07E-02 |  0.913842 |  0.950910 |     29.03 |     24.97 |  0.534969 |  0.436585 |  7.93E-03 |     39.95 | 
|         7 |       185 |  1.18E-02 |  0.927263 |  0.950910 |     28.88 |     25.07 |  0.039653 |  0.034061 |  7.88E-03 |     40.63 | 
|         7 |       222 |  1.07E-02 |  0.918693 |  0.950910 |     28.86 |     25.04 |  0.075117 |  0.061558 |  7.82E-03 |     41.29 | 
|         7 |       259 |  9.70E-03 |  0.918515 |  0.950910 |     28.82 |     24.84 |  0.065789 |  0.028666 |  7.77E-03 |     41.96 | 
|         7 |       296 |  8.99E-03 |  0.927014 |  0.950910 |     28.81 |     24.73 |  0.085599 |  0.069726 |  7.71E-03 |     42.63 | 
|         7 |       333 |  8.82E-03 |  0.933348 |  0.950910 |     28.90 |     24.77 |  0.053018 |  0.045721 |  7.66E-03 |     43.30 | 
|         7 |       370 |  8.41E-03 |  0.932828 |  0.950910 |     28.90 |     24.72 |  0.090268 |  0.029216 |  7.60E-03 |     43.96 | 
|         7 |       407 |  8.06E-03 |  0.930856 |  0.950910 |     28.86 |     24.64 |  0.091726 |  0.090570 |  7.54E-03 |     44.64 | 
|         8 |        37 |  3.54E-03 |  0.934221 |  0.950910 |     28.27 |     24.19 |  0.081662 |  0.022321 |  7.49E-03 |     44.92 | 
|         8 |        74 |  7.89E-03 |  0.935240 |  0.950910 |     28.04 |     23.95 |  0.053358 |  0.042646 |  7.43E-03 |     45.58 | 
|         8 |       111 |  7.39E-03 |  0.924289 |  0.950910 |     28.14 |     24.27 |  0.100345 |  0.023496 |  7.37E-03 |     46.24 | 
