*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Mar  9 09:17:53 2024 
|         4 |       444 |  1.23E-01 |  0.903797 |  0.913403 |     20.52 |     18.83 |  0.647865 |  0.490681 |  9.32E-03 |     29.62 | 
|         4 |       518 |  1.29E-01 |  0.895758 |  0.913403 |     20.49 |     18.81 |  0.794013 |  0.431741 |  9.29E-03 |     30.39 | 
|         4 |       592 |  1.20E-01 |  0.908633 |  0.913403 |     20.49 |     18.78 |  0.191492 |  0.144144 |  9.25E-03 |     31.12 | 
|         4 |       666 |  1.11E-01 |  0.898678 |  0.913403 |     20.51 |     18.72 |  0.195630 |  0.146748 |  9.22E-03 |     31.87 | 
|         4 |       740 |  1.04E-01 |  0.898195 |  0.913403 |     20.53 |     18.67 |  0.110667 |  0.082919 |  9.18E-03 |     32.62 | 
|         4 |       814 |  1.03E-01 |  0.914591 |  0.914591 |     20.55 |     18.71 |  1.367363 |  0.601046 |  9.15E-03 |     33.38 | 
|         4 |       823 |  1.03E-01 |  0.905072 |  0.914591 |     20.55 |     18.71 |  0.171083 |  0.131422 |  9.14E-03 |     33.90 | 
|         5 |        74 |  1.84E-01 |  0.904626 |  0.914591 |     20.84 |     19.53 |  0.286582 |  0.195647 |  9.10E-03 |     34.15 | 
|         5 |       148 |  1.34E-01 |  0.901547 |  0.914591 |     21.19 |     19.66 |  0.226880 |  0.178490 |  9.06E-03 |     34.97 | 
|         5 |       222 |  1.15E-01 |  0.904523 |  0.914591 |     21.32 |     19.77 |  1.475121 |  0.460105 |  9.03E-03 |     35.77 | 
|         5 |       296 |  9.88E-02 |  0.910072 |  0.914591 |     21.32 |     19.69 |  0.203489 |  0.156484 |  8.99E-03 |     36.59 | 
|         5 |       370 |  8.88E-02 |  0.884149 |  0.914591 |     21.29 |     19.61 |  0.491069 |  0.364816 |  8.94E-03 |     37.40 | 
|         5 |       444 |  8.03E-02 |  0.893989 |  0.914591 |     21.31 |     19.55 |  0.201564 |  0.160128 |  8.90E-03 |     38.17 | 
|         5 |       518 |  7.35E-02 |  0.895415 |  0.914591 |     21.31 |     19.45 |  0.118545 |  0.087529 |  8.86E-03 |     38.94 | 
|         5 |       592 |  6.86E-02 |  0.858601 |  0.914591 |     21.32 |     19.38 |  0.092030 |  0.070266 |  8.82E-03 |     39.74 | 
