*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Thu Mar  7 17:04:43 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        74 |  1.03E+00 |  0.885897 |  0.885897 |      8.00 |      7.00 |  0.060341 |  0.318894 |  1.00E-02 |      0.10 | 
|         1 |       148 |  9.91E-01 |  0.864189 |  0.885897 |      8.00 |      7.00 |  0.200668 |  0.179783 |  1.00E-02 |      0.29 | 
|         1 |       222 |  8.83E-01 |  0.890049 |  0.890049 |      8.00 |      7.00 |  0.098656 |  0.206774 |  1.00E-02 |      0.47 | 
|         1 |       296 |  7.70E-01 |  0.875878 |  0.890049 |      8.00 |      7.00 |  0.137617 |  0.289414 |  9.99E-03 |      0.66 | 
|         1 |       370 |  6.94E-01 |  0.875867 |  0.890049 |      8.00 |      7.00 |  1.122677 |  0.397630 |  9.99E-03 |      0.84 | 
|         1 |       444 |  6.30E-01 |  0.862859 |  0.890049 |      8.00 |      7.00 |  0.859776 |  0.865872 |  9.98E-03 |      1.02 | 
|         1 |       518 |  5.89E-01 |  0.856228 |  0.890049 |      8.00 |      7.00 |  0.675415 |  0.586158 |  9.98E-03 |      1.21 | 
|         1 |       592 |  5.91E-01 |  0.906599 |  0.906599 |      8.00 |      7.00 |  0.133854 |  0.116856 |  9.97E-03 |      1.39 | 
|         1 |       666 |  5.80E-01 |  0.898720 |  0.906599 |      8.00 |      7.00 |  0.534614 |  0.654002 |  9.96E-03 |      1.58 | 
|         1 |       740 |  5.60E-01 |  0.913120 |  0.913120 |      8.00 |      7.00 |  1.636000 |  0.733200 |  9.96E-03 |      1.76 | 
|         1 |       814 |  5.42E-01 |  0.889421 |  0.913120 |      8.00 |      7.00 |  0.559935 |  0.376653 |  9.95E-03 |      1.94 | 
|         1 |       823 |  5.39E-01 |  0.894681 |  0.913120 |      8.00 |      7.00 |  0.423796 |  0.335437 |  9.94E-03 |      2.06 | 
|         2 |        74 |  2.95E-01 |  0.879240 |  0.913120 |      8.00 |      7.00 |  0.822260 |  0.277011 |  9.93E-03 |      2.15 | 
|         2 |       148 |  3.00E-01 |  0.899931 |  0.913120 |      8.00 |      7.00 |  0.355116 |  0.263363 |  9.92E-03 |      2.35 | 
|         2 |       222 |  2.63E-01 |  0.880028 |  0.913120 |      8.00 |      7.00 |  1.034418 |  0.793586 |  9.91E-03 |      2.54 | 
|         2 |       296 |  3.35E-01 |  0.883351 |  0.913120 |      8.00 |      7.00 |  0.638874 |  0.335407 |  9.90E-03 |      2.73 | 
|         2 |       370 |  3.65E-01 |  0.857042 |  0.913120 |      8.00 |      7.00 |  1.489006 |  0.662313 |  9.88E-03 |      2.91 | 
|         2 |       444 |  4.14E-01 |  0.885773 |  0.913120 |      8.00 |      7.00 |  1.027315 |  0.276497 |  9.87E-03 |      3.09 | 
|         2 |       518 |  4.53E-01 |  0.860252 |  0.913120 |      8.00 |      7.00 |  0.297714 |  0.361362 |  9.85E-03 |      3.28 | 
|         2 |       592 |  4.74E-01 |  0.838511 |  0.913120 |      8.00 |      7.00 |  0.971917 |  0.559454 |  9.84E-03 |      3.46 | 
|         2 |       666 |  4.91E-01 |  0.840451 |  0.913120 |      8.00 |      7.00 |  1.617770 |  0.368200 |  9.82E-03 |      3.65 | 
