*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 13:43:27 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  6.35E-01 |  0.939146 |  0.939146 |     17.96 |     18.38 |  0.729738 |  1.793827 |  9.99E-03 |      1.01 | 
|         1 |       286 |  4.83E-01 |  0.942204 |  0.942204 |     22.91 |     24.23 |  1.228143 |  1.241626 |  9.97E-03 |      8.16 | 
|         1 |       429 |  4.40E-01 |  0.935834 |  0.942204 |     23.68 |     24.91 |  2.760876 |  0.572703 |  9.93E-03 |     16.01 | 
|         1 |       572 |  4.20E-01 |  0.931563 |  0.942204 |     23.74 |     24.69 |  0.548689 |  0.397810 |  9.88E-03 |     23.70 | 
|         1 |       715 |  3.94E-01 |  0.942317 |  0.942317 |     23.73 |     24.47 |  1.895942 |  0.741823 |  9.82E-03 |     31.00 | 
|         1 |       858 |  3.72E-01 |  0.938389 |  0.942317 |     24.70 |     25.32 |  2.715171 |  0.762431 |  9.74E-03 |     38.65 | 
|         1 |      1001 |  3.64E-01 |  0.950387 |  0.950387 |     27.11 |     27.68 |  1.951161 |  1.192106 |  9.65E-03 |     50.35 | 
|         1 |      1144 |  3.82E-01 |  0.951935 |  0.951935 |     29.07 |     29.61 |  0.527138 |  0.511319 |  9.54E-03 |     60.50 | 
|         1 |      1287 |  3.76E-01 |  0.951258 |  0.951935 |     29.55 |     30.10 |  1.318023 |  2.177995 |  9.42E-03 |     72.01 | 
|         1 |      1430 |  6.81E+10 |  0.635826 |  0.951935 |     30.51 |     30.73 |81155800.000000 |51665376.000000 |  9.29E-03 |     84.13 | 
|         1 |      1573 |       INF |  0.928237 |  0.951935 |     28.92 |     28.25 |1691050225696768.000000 |  0.099753 |  9.15E-03 |     95.48 | 
-------------------------------------------------------------------------------------------------------------------------------------
