*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Mar  8 19:29:57 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        74 |  5.89E-01 |  0.880056 |  0.880056 |     11.72 |     11.65 |  0.193847 |  0.351106 |  1.00E-02 |      0.17 | 
|         1 |       148 |  4.22E-01 |  0.873732 |  0.880056 |     12.32 |     11.80 |  0.157316 |  0.204840 |  1.00E-02 |      0.65 | 
|         1 |       222 |  3.14E-01 |  0.904293 |  0.904293 |     12.44 |     11.82 |  0.157250 |  0.180875 |  1.00E-02 |      1.15 | 
|         1 |       296 |  2.63E-01 |  0.878303 |  0.904293 |     12.51 |     11.81 |  0.439630 |  0.925158 |  9.99E-03 |      1.63 | 
|         1 |       370 |  2.26E-01 |  0.907676 |  0.907676 |     12.54 |     11.78 |  0.212036 |  0.267810 |  9.99E-03 |      2.12 | 
|         1 |       444 |  2.08E-01 |  0.890480 |  0.907676 |     12.61 |     11.82 |  0.101078 |  0.140536 |  9.98E-03 |      2.61 | 
|         1 |       518 |  1.87E-01 |  0.887553 |  0.907676 |     12.65 |     11.81 |  0.171659 |  0.283663 |  9.98E-03 |      3.11 | 
|         1 |       592 |  1.70E-01 |  0.873100 |  0.907676 |     12.67 |     11.80 |  0.049369 |  0.077848 |  9.97E-03 |      3.61 | 
|         1 |       666 |  1.64E-01 |  0.899449 |  0.907676 |     12.68 |     11.81 |  0.106334 |  0.144225 |  9.96E-03 |      4.11 | 
|         1 |       740 |  1.52E-01 |  0.891729 |  0.907676 |     12.69 |     11.81 |  0.202497 |  0.198360 |  9.96E-03 |      4.60 | 
|         1 |       814 |  1.41E-01 |  0.886627 |  0.907676 |     12.68 |     11.80 |  0.120079 |  0.136992 |  9.95E-03 |      5.09 | 
|         1 |       823 |  1.44E-01 |  0.896779 |  0.907676 |     12.68 |     11.80 |  0.405289 |  0.238856 |  9.94E-03 |      5.44 | 
|         2 |        74 |  2.79E-02 |  0.885246 |  0.907676 |     12.86 |     11.80 |  0.153111 |  0.220303 |  9.93E-03 |      5.61 | 
|         2 |       148 |  2.67E-02 |  0.850927 |  0.907676 |     12.80 |     11.74 |  0.044902 |  0.040794 |  9.92E-03 |      6.11 | 
|         2 |       222 |  2.98E-02 |  0.849659 |  0.907676 |     12.73 |     11.71 |  0.093962 |  0.118289 |  9.91E-03 |      6.60 | 
|         2 |       296 |  3.47E-02 |  0.884602 |  0.907676 |     12.74 |     11.71 |  0.051180 |  0.058189 |  9.90E-03 |      7.10 | 
|         2 |       370 |  3.36E-02 |  0.884670 |  0.907676 |     12.74 |     11.71 |  0.288530 |  0.314529 |  9.88E-03 |      7.59 | 
|         2 |       444 |  4.42E-02 |  0.863490 |  0.907676 |     12.74 |     11.74 |  0.115709 |  0.175052 |  9.87E-03 |      8.09 | 
|         2 |       518 |  4.36E-02 |  0.891188 |  0.907676 |     12.74 |     11.78 |  0.173843 |  0.181423 |  9.85E-03 |      8.59 | 
|         2 |       592 |  4.05E-02 |  0.891145 |  0.907676 |     12.75 |     11.79 |  0.111662 |  0.161733 |  9.84E-03 |      9.10 | 
|         2 |       666 |  3.75E-02 |  0.888039 |  0.907676 |     12.76 |     11.78 |  0.063785 |  0.064228 |  9.82E-03 |      9.61 | 
|         2 |       740 |  3.56E-02 |  0.873039 |  0.907676 |     12.79 |     11.79 |  0.185335 |  0.262562 |  9.80E-03 |     10.11 | 
|         2 |       814 |  3.51E-02 |  0.895225 |  0.907676 |     12.80 |     11.81 |  0.058915 |  0.069684 |  9.78E-03 |     10.61 | 
|         2 |       823 |  3.49E-02 |  0.877682 |  0.907676 |     12.80 |     11.81 |  0.127459 |  0.155873 |  9.78E-03 |     10.96 | 
|         3 |        74 |  1.79E-02 |  0.874689 |  0.907676 |     12.99 |     11.99 |  0.101477 |  0.109136 |  9.76E-03 |     11.13 | 
