*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Feb 16 19:30:28 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  9.26E-01 |  0.938775 |  0.938775 |      6.00 |      5.00 |  0.081605 |  0.257683 |  1.00E-02 |      0.08 | 
|         1 |        74 |  8.52E-01 |  0.945478 |  0.945478 |      6.00 |      5.00 |  0.279259 |  0.347154 |  1.00E-02 |      0.27 | 
|         1 |       111 |  7.22E-01 |  0.937698 |  0.945478 |      6.00 |      5.00 |  0.512817 |  0.174018 |  1.00E-02 |      0.46 | 
|         1 |       148 |  6.24E-01 |  0.931728 |  0.945478 |      6.00 |      5.00 |  0.224733 |  0.152490 |  9.99E-03 |      0.64 | 
|         1 |       185 |  5.68E-01 |  0.925027 |  0.945478 |      6.00 |      5.00 |  0.796591 |  0.294971 |  9.99E-03 |      0.83 | 
|         1 |       222 |  6.17E-01 |  0.947144 |  0.947144 |      6.00 |      5.00 |  0.498708 |  0.366448 |  9.98E-03 |      1.02 | 
|         1 |       259 |  6.17E-01 |  0.949957 |  0.949957 |      6.00 |      5.00 |  0.229234 |  0.198670 |  9.98E-03 |      1.21 | 
|         1 |       296 |  5.94E-01 |  0.948392 |  0.949957 |      6.00 |      5.00 |  0.097460 |  0.218070 |  9.97E-03 |      1.40 | 
|         1 |       333 |  5.70E-01 |  0.929602 |  0.949957 |      6.00 |      5.00 |  1.063596 |  0.999627 |  9.96E-03 |      1.59 | 
|         1 |       370 |  5.36E-01 |  0.923520 |  0.949957 |      6.00 |      5.00 |  0.555167 |  0.406393 |  9.95E-03 |      1.77 | 
|         1 |       407 |  5.05E-01 |  0.929555 |  0.949957 |      6.00 |      5.00 |  1.011262 |  0.414590 |  9.94E-03 |      1.95 | 
|         2 |        37 |  1.67E-01 |  0.920436 |  0.949957 |      6.00 |      5.00 |  0.423166 |  0.300799 |  9.93E-03 |      2.03 | 
|         2 |        74 |  1.79E-01 |  0.905552 |  0.949957 |      6.00 |      5.00 |  0.664451 |  0.386253 |  9.92E-03 |      2.21 | 
|         2 |       111 |  1.74E-01 |  0.916264 |  0.949957 |      6.00 |      5.00 |  0.325679 |  0.229018 |  9.91E-03 |      2.40 | 
|         2 |       148 |  1.66E-01 |  0.905776 |  0.949957 |      6.00 |      5.00 |  0.203205 |  0.124133 |  9.90E-03 |      2.58 | 
|         2 |       185 |  1.63E-01 |  0.926567 |  0.949957 |      6.00 |      5.00 |  0.347223 |  0.173579 |  9.88E-03 |      2.76 | 
|         2 |       222 |  1.63E-01 |  0.915609 |  0.949957 |      6.00 |      5.00 |  0.592606 |  0.202738 |  9.87E-03 |      2.95 | 
|         2 |       259 |  1.60E-01 |  0.902330 |  0.949957 |      6.00 |      5.00 |  0.283454 |  0.157624 |  9.85E-03 |      3.13 | 
|         2 |       296 |  1.55E-01 |  0.907634 |  0.949957 |      6.00 |      5.00 |  0.347594 |  0.235369 |  9.84E-03 |      3.31 | 
