*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Feb 16 20:51:01 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  5.98E-01 |  0.933660 |  0.933660 |     13.84 |     13.76 |  0.116037 |  0.251844 |  1.00E-02 |      0.20 | 
|         1 |        74 |  4.17E-01 |  0.942880 |  0.942880 |     14.42 |     14.22 |  0.107723 |  0.127888 |  1.00E-02 |      0.65 | 
|         1 |       111 |  3.32E-01 |  0.945476 |  0.945476 |     14.60 |     14.32 |  0.139603 |  0.090881 |  1.00E-02 |      1.09 | 
|         1 |       148 |  2.75E-01 |  0.943476 |  0.945476 |     14.70 |     14.33 |  0.198505 |  0.253313 |  9.99E-03 |      1.54 | 
|         1 |       185 |  2.38E-01 |  0.937837 |  0.945476 |     14.76 |     14.28 |  0.231175 |  0.183663 |  9.99E-03 |      1.99 | 
|         1 |       222 |  2.26E-01 |  0.940705 |  0.945476 |     14.79 |     14.26 |  0.485643 |  0.653659 |  9.98E-03 |      2.43 | 
|         1 |       259 |  2.06E-01 |  0.946315 |  0.946315 |     14.90 |     14.24 |  0.096300 |  0.068241 |  9.98E-03 |      2.88 | 
|         1 |       296 |  1.95E-01 |  0.937586 |  0.946315 |     15.04 |     14.31 |  0.130301 |  0.121082 |  9.97E-03 |      3.35 | 
|         1 |       333 |  1.88E-01 |  0.938669 |  0.946315 |     15.24 |     14.43 |  0.079284 |  0.079412 |  9.96E-03 |      3.82 | 
|         1 |       370 |  1.74E-01 |  0.937595 |  0.946315 |     15.49 |     14.54 |  0.248251 |  0.302936 |  9.95E-03 |      4.30 | 
|         1 |       407 |  1.64E-01 |  0.937669 |  0.946315 |     15.78 |     14.70 |  0.069174 |  0.104322 |  9.94E-03 |      4.79 | 
|         2 |        37 |  7.21E-02 |  0.931542 |  0.946315 |     18.86 |     16.84 |  0.344832 |  0.390469 |  9.93E-03 |      5.02 | 
