*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Feb 16 20:48:37 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  6.42E-01 |  0.933378 |  0.933378 |     14.22 |     14.00 |  0.183446 |  0.185288 |  1.00E-02 |      0.20 | 
|         1 |        74 |  4.39E-01 |  0.941004 |  0.941004 |     15.04 |     14.54 |  0.093840 |  0.084778 |  1.00E-02 |      0.66 | 
|         1 |       111 |  3.37E-01 |  0.948599 |  0.948599 |     15.28 |     14.68 |  0.214109 |  0.330621 |  1.00E-02 |      1.12 | 
|         1 |       148 |  2.83E-01 |  0.943790 |  0.948599 |     15.41 |     14.72 |  0.078265 |  0.164218 |  9.99E-03 |      1.57 | 
|         1 |       185 |  2.43E-01 |  0.942953 |  0.948599 |     15.52 |     14.78 |  0.082908 |  0.123880 |  9.99E-03 |      2.03 | 
|         1 |       222 |  2.26E-01 |  0.940391 |  0.948599 |     15.79 |     14.97 |  0.261204 |  0.211008 |  9.98E-03 |      2.52 | 
|         1 |       259 |  2.03E-01 |  0.928621 |  0.948599 |     16.11 |     15.23 |  0.231397 |  0.266626 |  9.98E-03 |      3.01 | 
|         1 |       296 |  1.91E-01 |  0.929518 |  0.948599 |     16.47 |     15.59 |  0.215604 |  0.378439 |  9.97E-03 |      3.51 | 
|         1 |       333 |  1.81E-01 |  0.929213 |  0.948599 |     16.87 |     15.90 |  0.134953 |  0.133510 |  9.96E-03 |      4.04 | 
|         1 |       370 |  1.70E-01 |  0.929421 |  0.948599 |     17.25 |     16.24 |  0.236115 |  0.257762 |  9.95E-03 |      4.57 | 
|         1 |       407 |  1.64E-01 |  0.911840 |  0.948599 |     17.72 |     16.65 |  0.635364 |  0.532528 |  9.94E-03 |      5.12 | 
|         2 |        37 |  7.14E-02 |  0.918478 |  0.948599 |     23.70 |     21.27 |  0.538911 |  0.504530 |  9.93E-03 |      5.38 | 
|         2 |        74 |  7.95E-02 |  0.932791 |  0.948599 |     24.47 |     21.97 |  0.127605 |  0.140299 |  9.92E-03 |      5.98 | 
|         2 |       111 |  6.50E-02 |  0.909846 |  0.948599 |     24.86 |     22.43 |  0.406364 |  0.455866 |  9.91E-03 |      6.59 | 
|         2 |       148 |  5.62E-02 |  0.931479 |  0.948599 |     25.17 |     22.70 |  0.455944 |  0.419671 |  9.90E-03 |      7.22 | 
|         2 |       185 |  5.28E-02 |  0.935838 |  0.948599 |     25.37 |     22.72 |  0.345346 |  0.408827 |  9.88E-03 |      7.83 | 
|         2 |       222 |  5.20E-02 |  0.922637 |  0.948599 |     25.74 |     23.05 |  0.239853 |  0.245825 |  9.87E-03 |      8.46 | 
|         2 |       259 |  4.72E-02 |  0.935373 |  0.948599 |     26.15 |     23.10 |  0.145397 |  0.181219 |  9.85E-03 |      9.11 | 
|         2 |       296 |  4.35E-02 |  0.934594 |  0.948599 |     26.41 |     23.12 |  0.251748 |  0.267345 |  9.84E-03 |      9.77 | 
|         2 |       333 |  4.00E-02 |  0.930569 |  0.948599 |     26.58 |     23.15 |  0.151033 |  0.159456 |  9.82E-03 |     10.41 | 
|         2 |       370 |  3.94E-02 |  0.924577 |  0.948599 |     26.68 |     23.11 |  0.335381 |  0.396197 |  9.80E-03 |     11.05 | 
|         2 |       407 |  3.78E-02 |  0.916824 |  0.948599 |     26.75 |     23.22 |  0.204043 |  0.219308 |  9.78E-03 |     11.70 | 
|         3 |        37 |  1.12E-01 |  0.933985 |  0.948599 |     28.22 |     25.73 |  0.224601 |  0.214856 |  9.76E-03 |     11.98 | 
|         3 |        74 |  6.49E-02 |  0.937378 |  0.948599 |     29.53 |     25.46 |  0.092987 |  0.120785 |  9.74E-03 |     12.67 | 
|         3 |       111 |  4.66E-02 |  0.932281 |  0.948599 |     30.04 |     25.23 |  0.088019 |  0.084982 |  9.72E-03 |     13.36 | 
|         3 |       148 |  3.78E-02 |  0.932757 |  0.948599 |     30.20 |     25.11 |  0.170085 |  0.167784 |  9.69E-03 |     14.05 | 
|         3 |       185 |  3.31E-02 |  0.932131 |  0.948599 |     30.26 |     25.09 |  0.154079 |  0.145422 |  9.67E-03 |     14.74 | 
|         3 |       222 |  2.92E-02 |  0.935067 |  0.948599 |     30.15 |     24.85 |  0.142819 |  0.144639 |  9.65E-03 |     15.42 | 
|         3 |       259 |  2.82E-02 |  0.904763 |  0.948599 |     30.07 |     24.70 |  0.161975 |  0.182414 |  9.62E-03 |     16.09 | 
|         3 |       296 |  2.86E-02 |  0.936643 |  0.948599 |     29.94 |     24.67 |  0.772410 |  0.726464 |  9.59E-03 |     16.77 | 
|         3 |       333 |  3.16E-02 |  0.933331 |  0.948599 |     30.12 |     24.95 |  0.081656 |  0.062707 |  9.57E-03 |     17.46 | 
|         3 |       370 |  2.94E-02 |  0.924958 |  0.948599 |     30.42 |     25.04 |  0.096545 |  0.089722 |  9.54E-03 |     18.19 | 
|         3 |       407 |  2.76E-02 |  0.935568 |  0.948599 |     30.62 |     25.08 |  0.084166 |  0.062490 |  9.51E-03 |     18.92 | 
|         4 |        37 |  9.17E-03 |  0.932258 |  0.948599 |     32.32 |     25.35 |  0.069402 |  0.125498 |  9.48E-03 |     19.21 | 
