*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Feb 17 11:42:55 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  9.45E-01 |  0.934783 |  0.934783 |     11.08 |     11.03 |  0.072222 |  0.261508 |  1.00E-02 |      0.12 | 
|         1 |        74 |  9.39E-01 |  0.937042 |  0.937042 |     11.04 |     11.04 |  0.042268 |  0.166881 |  1.00E-02 |      0.45 | 
|         1 |       111 |  9.68E-01 |  0.935831 |  0.937042 |     11.05 |     11.11 |  0.067017 |  0.280612 |  1.00E-02 |      0.77 | 
|         1 |       148 |  9.62E-01 |  0.937936 |  0.937936 |     11.06 |     11.18 |  0.040016 |  0.190110 |  9.99E-03 |      1.09 | 
|         1 |       185 |  9.84E-01 |  0.936773 |  0.937936 |     11.18 |     11.28 |  0.070407 |  0.351631 |  9.99E-03 |      1.42 | 
|         1 |       222 |  1.00E+00 |  0.936251 |  0.937936 |     11.34 |     11.43 |  0.047257 |  0.217016 |  9.98E-03 |      1.76 | 
|         1 |       259 |  9.95E-01 |  0.938258 |  0.938258 |     11.58 |     11.63 |  0.334421 |  0.418094 |  9.98E-03 |      2.10 | 
|         1 |       296 |  9.54E-01 |  0.935719 |  0.938258 |     12.01 |     12.03 |  0.178452 |  0.220009 |  9.97E-03 |      2.49 | 
|         1 |       333 |  9.07E-01 |  0.941480 |  0.941480 |     12.35 |     12.27 |  0.701709 |  0.496553 |  9.96E-03 |      2.88 | 
|         1 |       370 |  8.67E-01 |  0.946252 |  0.946252 |     12.61 |     12.48 |  0.289952 |  0.262334 |  9.95E-03 |      3.25 | 
|         1 |       407 |  8.31E-01 |  0.949244 |  0.949244 |     12.83 |     12.67 |  0.629385 |  0.502468 |  9.94E-03 |      3.63 | 
|         2 |        37 |  4.29E-01 |  0.951388 |  0.951388 |     15.00 |     14.35 |  0.275832 |  0.271885 |  9.93E-03 |      3.77 | 
|         2 |        74 |  4.76E-01 |  0.950476 |  0.951388 |     15.00 |     14.45 |  0.258450 |  0.213174 |  9.92E-03 |      4.14 | 
|         2 |       111 |  4.77E-01 |  0.951174 |  0.951388 |     14.99 |     14.37 |  0.316151 |  0.310971 |  9.91E-03 |      4.52 | 
|         2 |       148 |  4.77E-01 |  0.947256 |  0.951388 |     15.03 |     14.34 |  0.201384 |  0.160210 |  9.90E-03 |      4.90 | 
|         2 |       185 |  4.77E-01 |  0.949162 |  0.951388 |     15.12 |     14.33 |  0.173735 |  0.195968 |  9.88E-03 |      5.28 | 
|         2 |       222 |  4.57E-01 |  0.952228 |  0.952228 |     15.17 |     14.26 |  0.174367 |  0.185373 |  9.87E-03 |      5.66 | 
|         2 |       259 |  4.50E-01 |  0.951739 |  0.952228 |     15.21 |     14.20 |  0.703231 |  0.759478 |  9.85E-03 |      6.04 | 
|         2 |       296 |  4.44E-01 |  0.952823 |  0.952823 |     15.20 |     14.19 |  0.556665 |  0.994667 |  9.84E-03 |      6.41 | 
|         2 |       333 |  4.38E-01 |  0.951611 |  0.952823 |     15.17 |     14.18 |  0.235546 |  0.316561 |  9.82E-03 |      6.79 | 
|         2 |       370 |  4.33E-01 |  0.949274 |  0.952823 |     15.10 |     14.16 |  0.534375 |  0.535547 |  9.80E-03 |      7.16 | 
|         2 |       407 |  4.31E-01 |  0.948397 |  0.952823 |     15.06 |     14.16 |  0.182274 |  0.393540 |  9.78E-03 |      7.53 | 
|         3 |        37 |  3.42E-01 |  0.947000 |  0.952823 |     14.84 |     14.27 |  0.456091 |  0.287262 |  9.76E-03 |      7.67 | 
|         3 |        74 |  3.47E-01 |  0.946463 |  0.952823 |     14.81 |     14.49 |  0.546604 |  0.238505 |  9.74E-03 |      8.05 | 
|         3 |       111 |  3.41E-01 |  0.948163 |  0.952823 |     15.06 |     14.68 |  0.255002 |  0.254587 |  9.72E-03 |      8.44 | 
|         3 |       148 |  3.18E-01 |  0.945204 |  0.952823 |     15.19 |     14.76 |  1.201725 |  1.281570 |  9.69E-03 |      8.82 | 
|         3 |       185 |  2.98E-01 |  0.932805 |  0.952823 |     15.24 |     14.81 |  0.505337 |  0.253834 |  9.67E-03 |      9.22 | 
|         3 |       222 |  2.80E-01 |  0.935538 |  0.952823 |     15.25 |     14.81 |  0.235412 |  0.152894 |  9.65E-03 |      9.59 | 
|         3 |       259 |  2.80E-01 |  0.930848 |  0.952823 |     15.22 |     14.82 |  0.883034 |  0.819475 |  9.62E-03 |      9.97 | 
|         3 |       296 |  2.79E-01 |  0.930837 |  0.952823 |     15.21 |     14.85 |  1.133604 |  0.472825 |  9.59E-03 |     10.36 | 
|         3 |       333 |  2.70E-01 |  0.931017 |  0.952823 |     15.28 |     14.86 |  0.239252 |  0.223724 |  9.57E-03 |     10.76 | 
|         3 |       370 |  2.62E-01 |  0.933910 |  0.952823 |     15.32 |     14.85 |  0.552480 |  0.351647 |  9.54E-03 |     11.15 | 
|         3 |       407 |  2.60E-01 |  0.926980 |  0.952823 |     15.37 |     14.86 |  0.163728 |  0.096180 |  9.51E-03 |     11.54 | 
|         4 |        37 |  2.28E-01 |  0.936622 |  0.952823 |     15.97 |     15.00 |  0.254658 |  0.134990 |  9.48E-03 |     11.69 | 
|         4 |        74 |  2.34E-01 |  0.932087 |  0.952823 |     15.96 |     15.03 |  1.079669 |  0.465390 |  9.45E-03 |     12.08 | 
|         4 |       111 |  2.15E-01 |  0.933975 |  0.952823 |     15.94 |     14.94 |  0.520467 |  0.135816 |  9.42E-03 |     12.46 | 
|         4 |       148 |  2.02E-01 |  0.931282 |  0.952823 |     15.95 |     14.80 |  1.184489 |  0.590304 |  9.39E-03 |     12.84 | 
