*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Feb 16 22:40:08 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  7.85E-01 |  0.940837 |  0.940837 |     18.81 |     18.86 |  0.089862 |  0.204439 |  1.00E-02 |      0.24 | 
|         1 |        74 |  6.01E-01 |  0.932534 |  0.940837 |     19.57 |     19.43 |  0.097038 |  0.269708 |  1.00E-02 |      0.79 | 
|         1 |       111 |  5.02E-01 |  0.924867 |  0.940837 |     20.65 |     20.31 |  0.547078 |  0.927880 |  1.00E-02 |      1.39 | 
|         1 |       148 |  4.37E-01 |  0.929951 |  0.940837 |     21.39 |     21.10 |  0.061696 |  0.116735 |  9.99E-03 |      2.01 | 
|         1 |       185 |  4.06E-01 |  0.935969 |  0.940837 |     21.91 |     21.69 |  0.221397 |  0.319291 |  9.99E-03 |      2.63 | 
|         1 |       222 |  3.75E-01 |  0.939158 |  0.940837 |     22.25 |     22.00 |  0.118201 |  0.129469 |  9.98E-03 |      3.25 | 
|         1 |       259 |  3.43E-01 |  0.937160 |  0.940837 |     22.42 |     22.15 |  0.085140 |  0.115486 |  9.98E-03 |      3.86 | 
|         1 |       296 |  3.14E-01 |  0.936968 |  0.940837 |     22.59 |     22.23 |  0.104715 |  0.106005 |  9.97E-03 |      4.48 | 
|         1 |       333 |  3.00E-01 |  0.936501 |  0.940837 |     22.71 |     22.23 |  0.276246 |  0.446047 |  9.96E-03 |      5.09 | 
|         1 |       370 |  2.86E-01 |  0.945967 |  0.945967 |     22.91 |     22.23 |  0.113975 |  0.092151 |  9.95E-03 |      5.72 | 
|         1 |       407 |  2.69E-01 |  0.940748 |  0.945967 |     23.10 |     22.25 |  0.139171 |  0.132487 |  9.94E-03 |      6.35 | 
|         2 |        37 |  8.07E-02 |  0.944512 |  0.945967 |     24.57 |     21.78 |  0.272094 |  0.359637 |  9.93E-03 |      6.62 | 
|         2 |        74 |  1.07E-01 |  0.940522 |  0.945967 |     24.76 |     21.93 |  0.148300 |  0.227460 |  9.92E-03 |      7.26 | 
|         2 |       111 |  1.09E-01 |  0.938946 |  0.945967 |     24.61 |     21.98 |  0.145689 |  0.168456 |  9.91E-03 |      7.89 | 
|         2 |       148 |  9.71E-02 |  0.945151 |  0.945967 |     24.63 |     21.82 |  0.357938 |  0.322704 |  9.90E-03 |      8.53 | 
|         2 |       185 |  9.20E-02 |  0.934320 |  0.945967 |     24.64 |     21.83 |  0.131049 |  0.110944 |  9.88E-03 |      9.15 | 
|         2 |       222 |  8.65E-02 |  0.936351 |  0.945967 |     24.56 |     21.72 |  0.172337 |  0.133119 |  9.87E-03 |      9.78 | 
|         2 |       259 |  8.01E-02 |  0.938952 |  0.945967 |     24.44 |     21.61 |  0.115209 |  0.093479 |  9.85E-03 |     10.40 | 
|         2 |       296 |  8.12E-02 |  0.934056 |  0.945967 |     24.35 |     21.53 |  0.218762 |  0.134725 |  9.84E-03 |     11.02 | 
|         2 |       333 |  8.29E-02 |  0.941033 |  0.945967 |     24.23 |     21.46 |  0.222769 |  0.177410 |  9.82E-03 |     11.63 | 
|         2 |       370 |  7.89E-02 |  0.932622 |  0.945967 |     24.14 |     21.39 |  0.187953 |  0.216221 |  9.80E-03 |     12.25 | 
|         2 |       407 |  7.60E-02 |  0.921958 |  0.945967 |     24.07 |     21.32 |  0.173567 |  0.093687 |  9.78E-03 |     12.86 | 
|         3 |        37 |  4.07E-02 |  0.929616 |  0.945967 |     23.54 |     20.27 |  0.169723 |  0.151440 |  9.76E-03 |     13.13 | 
|         3 |        74 |  4.28E-02 |  0.927548 |  0.945967 |     23.54 |     20.65 |  0.143568 |  0.121567 |  9.74E-03 |     13.74 | 
|         3 |       111 |  3.96E-02 |  0.927966 |  0.945967 |     23.51 |     20.50 |  0.176917 |  0.147572 |  9.72E-03 |     14.36 | 
|         3 |       148 |  3.88E-02 |  0.930752 |  0.945967 |     23.51 |     20.53 |  0.160214 |  0.174390 |  9.69E-03 |     14.98 | 
|         3 |       185 |  4.38E-02 |  0.923192 |  0.945967 |     23.46 |     20.61 |  0.297465 |  0.306413 |  9.67E-03 |     15.59 | 
|         3 |       222 |  4.67E-02 |  0.924987 |  0.945967 |     23.41 |     20.64 |  0.101797 |  0.096831 |  9.65E-03 |     16.21 | 
|         3 |       259 |  4.63E-02 |  0.927244 |  0.945967 |     23.35 |     20.63 |  0.226809 |  0.105259 |  9.62E-03 |     16.83 | 
|         3 |       296 |  4.40E-02 |  0.921597 |  0.945967 |     23.30 |     20.55 |  0.093118 |  0.086026 |  9.59E-03 |     17.44 | 
|         3 |       333 |  4.24E-02 |  0.931226 |  0.945967 |     23.28 |     20.54 |  0.202321 |  0.160007 |  9.57E-03 |     18.05 | 
|         3 |       370 |  5.39E-02 |  0.922478 |  0.945967 |     23.25 |     20.58 |  0.302037 |  0.256607 |  9.54E-03 |     18.67 | 
|         3 |       407 |  5.31E-02 |  0.932040 |  0.945967 |     23.21 |     20.53 |  0.117305 |  0.136923 |  9.51E-03 |     19.28 | 
|         4 |        37 |  5.88E-02 |  0.935588 |  0.945967 |     23.03 |     20.57 |  0.337110 |  0.269889 |  9.48E-03 |     19.54 | 
|         4 |        74 |  4.71E-02 |  0.913719 |  0.945967 |     23.03 |     20.64 |  0.201111 |  0.159242 |  9.45E-03 |     20.16 | 
|         4 |       111 |  4.83E-02 |  0.930501 |  0.945967 |     23.08 |     20.76 |  0.219731 |  0.166817 |  9.42E-03 |     20.78 | 
|         4 |       148 |  4.46E-02 |  0.914170 |  0.945967 |     23.07 |     20.61 |  0.129910 |  0.133808 |  9.39E-03 |     21.39 | 
|         4 |       185 |  4.23E-02 |  0.913050 |  0.945967 |     23.11 |     20.57 |  0.161432 |  0.122258 |  9.35E-03 |     22.01 | 
|         4 |       222 |  4.00E-02 |  0.891357 |  0.945967 |     23.13 |     20.51 |  0.265770 |  0.325605 |  9.32E-03 |     22.64 | 
|         4 |       259 |  4.24E-02 |  0.904320 |  0.945967 |     23.14 |     20.52 |  0.519904 |  0.404395 |  9.29E-03 |     23.26 | 
|         4 |       296 |  4.16E-02 |  0.937090 |  0.945967 |     23.14 |     20.51 |  0.142347 |  0.105966 |  9.25E-03 |     23.87 | 
|         4 |       333 |  4.08E-02 |  0.918333 |  0.945967 |     23.17 |     20.49 |  0.083057 |  0.065986 |  9.21E-03 |     24.49 | 
