*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Feb 16 18:51:40 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  9.33E-01 |  0.935292 |  0.935292 |      6.00 |      5.00 |  0.084945 |  0.298694 |  1.00E-02 |      0.08 | 
|         1 |        74 |  8.57E-01 |  0.940853 |  0.940853 |      6.00 |      5.00 |  0.378361 |  0.285206 |  1.00E-02 |      0.25 | 
|         1 |       111 |  7.54E-01 |  0.942054 |  0.942054 |      6.00 |      5.00 |  0.299293 |  0.190942 |  1.00E-02 |      0.44 | 
|         1 |       148 |  6.38E-01 |  0.941831 |  0.942054 |      6.00 |      5.00 |  0.563412 |  0.792194 |  9.99E-03 |      0.62 | 
|         1 |       185 |  5.53E-01 |  0.925475 |  0.942054 |      6.00 |      5.00 |  0.390798 |  0.208554 |  9.99E-03 |      0.80 | 
|         1 |       222 |  4.88E-01 |  0.921027 |  0.942054 |      6.00 |      5.00 |  1.437123 |  1.071174 |  9.98E-03 |      0.98 | 
|         1 |       259 |  4.31E-01 |  0.924506 |  0.942054 |      6.00 |      5.00 |  0.707688 |  0.613276 |  9.98E-03 |      1.16 | 
|         1 |       296 |  3.95E-01 |  0.910614 |  0.942054 |      6.00 |      5.00 |  0.324607 |  0.180107 |  9.97E-03 |      1.33 | 
|         1 |       333 |  3.58E-01 |  0.933490 |  0.942054 |      6.00 |      5.00 |  1.035689 |  0.501076 |  9.96E-03 |      1.52 | 
|         1 |       370 |  3.30E-01 |  0.925754 |  0.942054 |      6.00 |      5.00 |  1.198552 |  0.305176 |  9.95E-03 |      1.70 | 
|         1 |       407 |  3.05E-01 |  0.937155 |  0.942054 |      6.00 |      5.00 |  0.384817 |  0.250499 |  9.94E-03 |      1.88 | 
|         2 |        37 |  4.56E-02 |  0.930425 |  0.942054 |      6.00 |      5.00 |  0.108784 |  0.056863 |  9.93E-03 |      1.95 | 
|         2 |        74 |  4.23E-02 |  0.930083 |  0.942054 |      6.00 |      5.00 |  0.126004 |  0.095408 |  9.92E-03 |      2.13 | 
|         2 |       111 |  4.27E-02 |  0.920025 |  0.942054 |      6.00 |      5.00 |  0.174687 |  0.079733 |  9.91E-03 |      2.32 | 
|         2 |       148 |  4.16E-02 |  0.892211 |  0.942054 |      6.00 |      5.00 |  0.253310 |  0.071974 |  9.90E-03 |      2.51 | 
|         2 |       185 |  4.07E-02 |  0.940121 |  0.942054 |      6.00 |      5.00 |  0.424622 |  0.248407 |  9.88E-03 |      2.70 | 
|         2 |       222 |  4.02E-02 |  0.934065 |  0.942054 |      6.00 |      5.00 |  0.210689 |  0.077472 |  9.87E-03 |      2.89 | 
|         2 |       259 |  4.19E-02 |  0.938146 |  0.942054 |      6.00 |      5.00 |  0.269852 |  0.118952 |  9.85E-03 |      3.07 | 
|         2 |       296 |  4.14E-02 |  0.936070 |  0.942054 |      6.00 |      5.00 |  0.205286 |  0.155247 |  9.84E-03 |      3.26 | 
|         2 |       333 |  4.01E-02 |  0.931476 |  0.942054 |      6.00 |      5.00 |  0.079211 |  0.048879 |  9.82E-03 |      3.45 | 
|         2 |       370 |  3.89E-02 |  0.926529 |  0.942054 |      6.00 |      5.00 |  0.127492 |  0.080925 |  9.80E-03 |      3.64 | 
|         2 |       407 |  3.80E-02 |  0.919838 |  0.942054 |      6.00 |      5.00 |  0.196099 |  0.126685 |  9.78E-03 |      3.83 | 
|         3 |        37 |  3.07E-02 |  0.912250 |  0.942054 |      6.00 |      5.00 |  0.074579 |  0.052179 |  9.76E-03 |      3.90 | 
|         3 |        74 |  3.25E-02 |  0.936531 |  0.942054 |      6.00 |      5.00 |  0.187433 |  0.123254 |  9.74E-03 |      4.09 | 
|         3 |       111 |  3.09E-02 |  0.917290 |  0.942054 |      6.00 |      5.00 |  0.146774 |  0.118128 |  9.72E-03 |      4.28 | 
|         3 |       148 |  3.00E-02 |  0.925810 |  0.942054 |      6.00 |      5.00 |  0.220500 |  0.081984 |  9.69E-03 |      4.48 | 
|         3 |       185 |  3.01E-02 |  0.933157 |  0.942054 |      6.00 |      5.00 |  0.163812 |  0.071050 |  9.67E-03 |      4.67 | 
|         3 |       222 |  3.01E-02 |  0.931014 |  0.942054 |      6.00 |      5.00 |  0.236539 |  0.182500 |  9.65E-03 |      4.86 | 
|         3 |       259 |  3.03E-02 |  0.918471 |  0.942054 |      6.00 |      5.00 |  0.184274 |  0.075786 |  9.62E-03 |      5.05 | 
|         3 |       296 |  2.99E-02 |  0.918851 |  0.942054 |      6.00 |      5.00 |  0.232509 |  0.136914 |  9.59E-03 |      5.24 | 
|         3 |       333 |  2.94E-02 |  0.922025 |  0.942054 |      6.00 |      5.00 |  0.112648 |  0.066446 |  9.57E-03 |      5.44 | 
|         3 |       370 |  2.89E-02 |  0.914957 |  0.942054 |      6.00 |      5.00 |  0.309574 |  0.219768 |  9.54E-03 |      5.63 | 
|         3 |       407 |  2.86E-02 |  0.906013 |  0.942054 |      6.00 |      5.00 |  0.101155 |  0.130347 |  9.51E-03 |      5.82 | 
|         4 |        37 |  2.46E-02 |  0.912781 |  0.942054 |      6.00 |      5.00 |  0.098190 |  0.102252 |  9.48E-03 |      5.90 | 
