*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 18:42:17 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  5.01E-01 |  0.928854 |  0.928854 |     12.24 |     12.01 |  1.246403 |  3.018047 |  9.99E-03 |      0.89 | 
|         1 |       286 |  4.58E-01 |  0.932721 |  0.932721 |     13.04 |     12.52 |  0.980958 |  0.984930 |  9.97E-03 |      5.43 | 
|         1 |       429 |  4.30E-01 |  0.941608 |  0.941608 |     13.32 |     12.73 | 18.850092 |  3.498566 |  9.93E-03 |     10.25 | 
|         1 |       572 |  4.15E-01 |  0.945123 |  0.945123 |     13.31 |     12.77 |  1.094757 |  0.736356 |  9.88E-03 |     14.94 | 
|         1 |       715 |  3.90E-01 |  0.942348 |  0.945123 |     13.31 |     12.81 |  1.515203 |  1.197824 |  9.82E-03 |     19.64 | 
|         1 |       858 |  4.30E-01 |  0.941314 |  0.945123 |     13.48 |     13.06 |  0.550752 |  0.413519 |  9.74E-03 |     24.47 | 
|         1 |      1001 |  4.13E-01 |  0.947406 |  0.947406 |     13.59 |     13.18 |  3.041074 |  0.855783 |  9.65E-03 |     29.37 | 
|         1 |      1144 |  3.97E-01 |  0.939108 |  0.947406 |     13.78 |     13.40 |  0.644414 |  0.590119 |  9.54E-03 |     34.42 | 
|         1 |      1287 |  4.01E-01 |  0.943664 |  0.947406 |     13.88 |     13.56 |  1.008951 |  0.618956 |  9.42E-03 |     39.40 | 
|         1 |      1430 |  3.95E-01 |  0.944223 |  0.947406 |     13.88 |     13.62 |  1.346158 |  1.065167 |  9.29E-03 |     44.14 | 
|         1 |      1573 |  3.75E-01 |  0.946332 |  0.947406 |     13.88 |     13.65 |  1.758670 |  1.114206 |  9.15E-03 |     49.02 | 
|         1 |      1579 |  3.74E-01 |  0.947333 |  0.947406 |     13.88 |     13.65 |  0.632273 |  0.473567 |  9.14E-03 |     52.95 | 
|         2 |       143 |  2.33E-01 |  0.939156 |  0.947406 |     13.65 |     13.87 | 30.658289 |  4.943746 |  8.98E-03 |     53.82 | 
|         2 |       286 |  3.04E-01 |  0.944143 |  0.947406 |     13.61 |     13.99 |  0.736554 |  0.514483 |  8.82E-03 |     58.60 | 
|         2 |       429 |  2.80E-01 |  0.944213 |  0.947406 |     13.49 |     13.74 |  1.639882 |  0.398887 |  8.64E-03 |     63.58 | 
|         2 |       572 |  3.11E-01 |  0.949701 |  0.949701 |     13.48 |     13.68 |  1.011304 |  0.689293 |  8.45E-03 |     68.51 | 
|         2 |       715 |  3.06E-01 |  0.942990 |  0.949701 |     13.57 |     13.65 |  8.383799 |  1.930923 |  8.25E-03 |     73.36 | 
|         2 |       858 |  3.03E-01 |  0.938738 |  0.949701 |     13.60 |     13.66 | 29.535147 |  3.792315 |  8.05E-03 |     78.46 | 
|         2 |      1001 |  2.85E-01 |  0.950752 |  0.950752 |     13.64 |     13.67 |  1.203890 |  0.968157 |  7.83E-03 |     83.27 | 
|         2 |      1144 |  2.67E-01 |  0.946678 |  0.950752 |     13.67 |     13.68 |  2.203836 |  1.574611 |  7.61E-03 |     88.62 | 
|         2 |      1287 |  2.66E-01 |  0.953389 |  0.953389 |     13.63 |     13.64 |  0.750574 |  0.627672 |  7.38E-03 |     93.78 | 
