*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 19:09:40 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  5.71E-01 |  0.930078 |  0.930078 |     12.71 |     12.25 |  0.807082 |  1.204246 |  9.99E-03 |      0.86 | 
|         1 |       286 |  4.87E-01 |  0.932646 |  0.932646 |     13.12 |     12.56 |  0.254287 |  0.302855 |  9.97E-03 |      5.52 | 
|         1 |       429 |  4.53E-01 |  0.938764 |  0.938764 |     13.22 |     12.73 |  1.343896 |  0.841693 |  9.93E-03 |     10.15 | 
|         1 |       572 |  4.34E-01 |  0.939869 |  0.939869 |     13.32 |     12.81 |  0.692050 |  0.545121 |  9.88E-03 |     15.00 | 
|         1 |       715 |  4.01E-01 |  0.946475 |  0.946475 |     13.30 |     12.84 |  1.553233 |  1.454445 |  9.82E-03 |     19.82 | 
|         1 |       858 |  3.90E-01 |  0.949098 |  0.949098 |     13.27 |     12.84 |  1.548439 |  0.536582 |  9.74E-03 |     24.40 | 
|         1 |      1001 |  4.12E-01 |  0.941412 |  0.949098 |     13.24 |     12.85 |  0.585735 |  0.427430 |  9.65E-03 |     29.05 | 
|         1 |      1144 |  4.10E-01 |  0.935968 |  0.949098 |     13.19 |     12.80 | 11.591824 |  7.504102 |  9.54E-03 |     33.71 | 
|         1 |      1287 |  3.90E-01 |  0.943978 |  0.949098 |     13.13 |     12.77 |  5.483935 |  1.077865 |  9.42E-03 |     38.38 | 
|         1 |      1430 |  3.70E-01 |  0.951577 |  0.951577 |     13.09 |     12.74 |  0.927966 |  0.633707 |  9.29E-03 |     42.85 | 
|         1 |      1573 |  3.54E-01 |  0.954841 |  0.954841 |     13.09 |     12.76 |  0.452536 |  0.330580 |  9.15E-03 |     47.51 | 
|         1 |      1579 |  3.55E-01 |  0.948687 |  0.954841 |     13.09 |     12.76 |  0.390326 |  0.250618 |  9.14E-03 |     51.50 | 
|         2 |       143 |  1.78E-01 |  0.941291 |  0.954841 |     12.94 |     12.70 |  1.819548 |  1.249344 |  8.98E-03 |     52.34 | 
|         2 |       286 |  2.00E-01 |  0.950717 |  0.954841 |     12.97 |     12.65 |  4.883581 |  3.583370 |  8.82E-03 |     57.12 | 
|         2 |       429 |  2.13E-01 |  0.952563 |  0.954841 |     12.96 |     12.79 |  1.081346 |  0.503717 |  8.64E-03 |     62.02 | 
|         2 |       572 |  2.27E-01 |  0.948863 |  0.954841 |     12.94 |     12.78 |  5.138004 |  1.558017 |  8.45E-03 |     66.81 | 
|         2 |       715 |  2.26E-01 |  0.951442 |  0.954841 |     12.87 |     12.76 |  1.243631 |  1.027395 |  8.25E-03 |     71.60 | 
|         2 |       858 |  2.26E-01 |  0.951962 |  0.954841 |     12.78 |     12.70 |  1.502324 |  0.766362 |  8.05E-03 |     76.38 | 
|         2 |      1001 |  2.36E-01 |  0.946674 |  0.954841 |     12.77 |     12.69 |  4.342934 |  2.994310 |  7.83E-03 |     81.25 | 
|         2 |      1144 |  2.33E-01 |  0.959171 |  0.959171 |     12.74 |     12.65 |  4.352181 |  0.593159 |  7.61E-03 |     86.05 | 
|         2 |      1287 |  2.39E-01 |  0.956172 |  0.959171 |     12.76 |     12.66 |  0.496832 |  0.329049 |  7.38E-03 |     90.84 | 
|         2 |      1430 |  2.30E-01 |  0.953215 |  0.959171 |     12.77 |     12.65 |  0.450616 |  0.312865 |  7.14E-03 |     96.02 | 
|         2 |      1573 |  2.31E-01 |  0.953914 |  0.959171 |     12.77 |     12.64 |  0.470565 |  0.241646 |  6.90E-03 |    101.00 | 
|         2 |      1579 |  2.43E-01 |  0.955630 |  0.959171 |     12.77 |     12.64 |  3.583476 |  5.194230 |  6.89E-03 |    105.05 | 
|         3 |       143 |  1.41E-01 |  0.949674 |  0.959171 |     13.00 |     12.60 |  1.039202 |  0.744830 |  6.65E-03 |    105.90 | 
|         3 |       286 |  1.48E-01 |  0.944528 |  0.959171 |     13.02 |     12.71 |  1.685598 |  1.068442 |  6.40E-03 |    110.70 | 
|         3 |       429 |  1.98E-01 |  0.954589 |  0.959171 |     13.05 |     12.88 |  0.815928 |  0.747858 |  6.14E-03 |    115.89 | 
|         3 |       572 |  2.10E-01 |  0.952735 |  0.959171 |     13.12 |     12.98 |  0.594105 |  0.398849 |  5.89E-03 |    120.93 | 
|         3 |       715 |  2.06E-01 |  0.953002 |  0.959171 |     13.17 |     13.05 |  3.208874 |  0.946783 |  5.63E-03 |    126.15 | 
|         3 |       858 |  2.04E-01 |  0.947365 |  0.959171 |     13.21 |     13.12 |  9.407520 |  6.006332 |  5.38E-03 |    131.20 | 
|         3 |      1001 |  1.91E-01 |  0.952542 |  0.959171 |     13.22 |     13.15 |  1.138630 |  0.482676 |  5.12E-03 |    136.06 | 
|         3 |      1144 |  2.16E-01 |  0.955938 |  0.959171 |     13.23 |     13.16 |  0.718707 |  1.279699 |  4.87E-03 |    141.49 | 
|         3 |      1287 |  2.27E-01 |  0.952201 |  0.959171 |     13.28 |     13.21 |  0.405200 |  0.277136 |  4.62E-03 |    146.98 | 
|         3 |      1430 |  2.27E-01 |  0.955893 |  0.959171 |     13.29 |     13.21 |  0.882513 |  0.327114 |  4.37E-03 |    152.31 | 
|         3 |      1573 |  2.18E-01 |  0.957697 |  0.959171 |     13.31 |     13.23 |  0.494279 |  0.593683 |  4.12E-03 |    157.46 | 
|         3 |      1579 |  2.17E-01 |  0.956692 |  0.959171 |     13.32 |     13.23 |  0.449272 |  0.336320 |  4.11E-03 |    161.78 | 
|         4 |       143 |  1.47E-01 |  0.957584 |  0.959171 |     13.34 |     13.37 |  0.565446 |  0.281719 |  3.87E-03 |    162.64 | 
|         4 |       286 |  1.95E-01 |  0.956007 |  0.959171 |     13.44 |     13.43 |  0.374930 |  0.970549 |  3.63E-03 |    167.87 | 
|         4 |       429 |  1.84E-01 |  0.950556 |  0.959171 |     13.57 |     13.47 |  0.592869 |  0.610475 |  3.40E-03 |    173.28 | 
