*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 08:47:46 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  6.50E-01 |  0.932232 |  0.932232 |      6.00 |      5.00 |  0.640837 |  0.728613 |  9.99E-03 |      0.47 | 
|         1 |       286 |  5.60E-01 |  0.926591 |  0.932232 |      6.00 |      5.00 |  2.493680 |  1.142252 |  9.97E-03 |      1.96 | 
|         1 |       429 |  5.51E-01 |  0.930254 |  0.932232 |      6.00 |      5.00 |  4.703656 |  0.879146 |  9.93E-03 |      3.44 | 
|         1 |       572 |  5.59E-01 |  0.914717 |  0.932232 |      6.00 |      5.00 |  1.713473 |  1.648482 |  9.88E-03 |      4.92 | 
|         1 |       715 |  5.61E-01 |  0.924322 |  0.932232 |      6.00 |      5.00 |  1.144069 |  0.561269 |  9.82E-03 |      6.40 | 
|         1 |       858 |       NAN |-100000002004087734272.000000 |  0.932232 |      6.00 |      5.00 |       nan |       nan |  9.74E-03 |      7.88 | 
-------------------------------------------------------------------------------------------------------------------------------------
