*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Feb 16 20:43:52 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  7.14E-01 |  0.929644 |  0.929644 |     13.81 |     13.76 |  0.149446 |  0.211966 |  1.00E-02 |      0.21 | 
|         1 |        74 |  5.12E-01 |  0.933732 |  0.933732 |     13.91 |     13.69 |  0.102282 |  0.264945 |  1.00E-02 |      0.67 | 
|         1 |       111 |  4.10E-01 |  0.941253 |  0.941253 |     14.12 |     13.83 |  0.204989 |  0.240834 |  1.00E-02 |      1.14 | 
|         1 |       148 |  3.52E-01 |  0.941277 |  0.941277 |     14.39 |     13.93 |  0.305739 |  0.441094 |  9.99E-03 |      1.61 | 
|         1 |       185 |  3.01E-01 |  0.945330 |  0.945330 |     14.77 |     14.08 |  0.051646 |  0.090574 |  9.99E-03 |      2.11 | 
|         1 |       222 |  2.63E-01 |  0.947884 |  0.947884 |     15.04 |     14.18 |  0.132863 |  0.190956 |  9.98E-03 |      2.60 | 
|         1 |       259 |  2.38E-01 |  0.937419 |  0.947884 |     15.21 |     14.25 |  0.229982 |  0.335266 |  9.98E-03 |      3.10 | 
|         1 |       296 |  2.16E-01 |  0.947135 |  0.947884 |     15.38 |     14.28 |  0.276656 |  0.343427 |  9.97E-03 |      3.59 | 
|         1 |       333 |  2.00E-01 |  0.923414 |  0.947884 |     15.52 |     14.34 |  0.913430 |  1.112857 |  9.96E-03 |      4.09 | 
|         1 |       370 |  1.92E-01 |  0.938539 |  0.947884 |     15.81 |     14.57 |  0.514797 |  0.614054 |  9.95E-03 |      4.61 | 
|         1 |       407 |  1.78E-01 |  0.945631 |  0.947884 |     16.18 |     14.79 |  0.182196 |  0.220521 |  9.94E-03 |      5.15 | 
|         2 |        37 |  1.26E-01 |  0.943370 |  0.947884 |     19.95 |     17.57 |  0.783277 |  0.898749 |  9.93E-03 |      5.40 | 
|         2 |        74 |  8.82E-02 |  0.940111 |  0.947884 |     20.78 |     18.42 |  0.462597 |  0.553475 |  9.92E-03 |      5.99 | 
|         2 |       111 |  6.64E-02 |  0.944306 |  0.947884 |     21.40 |     18.73 |  0.114165 |  0.156091 |  9.91E-03 |      6.59 | 
