*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Thu Mar  7 16:48:06 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        74 |  9.22E-01 |  0.860615 |  0.860615 |      6.00 |      5.00 |  0.163946 |  0.538562 |  1.00E-02 |      0.07 | 
|         1 |       148 |  6.65E-01 |  0.880227 |  0.880227 |      6.00 |      5.00 |  0.580022 |  0.359673 |  1.00E-02 |      0.23 | 
|         1 |       222 |  5.48E-01 |  0.843649 |  0.880227 |      6.00 |      5.00 |  0.372777 |  0.235490 |  1.00E-02 |      0.38 | 
|         1 |       296 |  4.49E-01 |  0.860274 |  0.880227 |      6.00 |      5.00 |  0.434229 |  0.181695 |  9.99E-03 |      0.53 | 
|         1 |       370 |  3.89E-01 |  0.856750 |  0.880227 |      6.00 |      5.00 |  0.552314 |  0.217752 |  9.99E-03 |      0.68 | 
|         1 |       444 |  3.50E-01 |  0.843433 |  0.880227 |      6.00 |      5.00 |  0.489537 |  0.198566 |  9.98E-03 |      0.84 | 
|         1 |       518 |  3.14E-01 |  0.898900 |  0.898900 |      6.00 |      5.00 |  0.349696 |  0.238947 |  9.98E-03 |      0.99 | 
|         1 |       592 |  2.83E-01 |  0.890516 |  0.898900 |      6.00 |      5.00 |  0.281458 |  0.202495 |  9.97E-03 |      1.14 | 
|         1 |       666 |  2.96E-01 |  0.895630 |  0.898900 |      6.00 |      5.00 |  0.269468 |  0.172565 |  9.96E-03 |      1.29 | 
|         1 |       740 |  2.96E-01 |  0.888732 |  0.898900 |      6.00 |      5.00 |  2.681879 |  1.025756 |  9.96E-03 |      1.44 | 
|         1 |       814 |  2.95E-01 |  0.903668 |  0.903668 |      6.00 |      5.00 |  0.583743 |  0.456028 |  9.95E-03 |      1.59 | 
|         1 |       823 |  2.94E-01 |  0.875530 |  0.903668 |      6.00 |      5.00 |  2.276581 |  1.307778 |  9.94E-03 |      1.69 | 
|         2 |        74 |  2.81E-01 |  0.909593 |  0.909593 |      6.00 |      5.00 |  1.164157 |  0.405967 |  9.93E-03 |      1.75 | 
|         2 |       148 |  2.38E-01 |  0.891195 |  0.909593 |      6.00 |      5.00 |  3.688001 |  0.954787 |  9.92E-03 |      1.90 | 
|         2 |       222 |  2.40E-01 |  0.907331 |  0.909593 |      6.00 |      5.00 |  9.076804 |  1.368450 |  9.91E-03 |      2.05 | 
|         2 |       296 |  2.76E-01 |  0.899654 |  0.909593 |      6.00 |      5.00 |  1.550639 |  0.547347 |  9.90E-03 |      2.20 | 
|         2 |       370 |  2.51E-01 |  0.912998 |  0.912998 |      6.00 |      5.00 |  0.551537 |  0.394291 |  9.88E-03 |      2.35 | 
|         2 |       444 |  2.38E-01 |  0.900382 |  0.912998 |      6.00 |      5.00 |  2.118319 |  1.248667 |  9.87E-03 |      2.50 | 
|         2 |       518 |  2.29E-01 |  0.893380 |  0.912998 |      6.00 |      5.00 |  0.683321 |  0.492820 |  9.85E-03 |      2.65 | 
|         2 |       592 |  2.27E-01 |  0.902837 |  0.912998 |      6.00 |      5.00 |  0.365160 |  0.158603 |  9.84E-03 |      2.81 | 
|         2 |       666 |  2.37E-01 |  0.889044 |  0.912998 |      6.00 |      5.00 |  1.691787 |  0.393729 |  9.82E-03 |      2.96 | 
|         2 |       740 |  2.35E-01 |  0.898900 |  0.912998 |      6.00 |      5.00 |  1.262157 |  0.531890 |  9.80E-03 |      3.12 | 
