*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 08:24:35 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  7.18E-01 |  0.928617 |  0.928617 |      8.00 |      7.00 |  0.046317 |  0.614515 |  9.99E-03 |      0.48 | 
|         1 |       286 |  6.87E-01 |  0.924172 |  0.928617 |      8.00 |      7.00 |  0.738228 |  0.542000 |  9.97E-03 |      2.03 | 
|         1 |       429 |  6.35E-01 |  0.924663 |  0.928617 |      8.00 |      7.00 |  0.312541 |  0.536750 |  9.93E-03 |      3.56 | 
|         1 |       572 |  6.03E-01 |  0.925582 |  0.928617 |      8.00 |      7.00 |  0.821041 |  0.700496 |  9.88E-03 |      5.07 | 
|         1 |       715 |  5.93E-01 |  0.926527 |  0.928617 |      8.00 |      7.00 |  4.023865 |  1.903211 |  9.82E-03 |      6.59 | 
|         1 |       858 |  6.10E-01 |  0.911944 |  0.928617 |      8.00 |      7.00 |  5.594485 |  1.153212 |  9.74E-03 |      8.10 | 
|         1 |      1001 |  6.03E-01 |  0.928707 |  0.928707 |      8.00 |      7.00 |  0.453020 |  0.540815 |  9.65E-03 |      9.61 | 
|         1 |      1144 |  6.04E-01 |  0.928734 |  0.928734 |      8.00 |      7.00 |  0.000842 |  0.484831 |  9.54E-03 |     11.12 | 
|         1 |      1287 |  5.93E-01 |  0.928229 |  0.928734 |      8.00 |      7.00 |  0.000839 |  1.718978 |  9.42E-03 |     12.64 | 
|         1 |      1430 |  5.95E-01 |  0.928292 |  0.928734 |      8.00 |      7.00 |  0.000837 |  0.715708 |  9.29E-03 |     14.16 | 
|         1 |      1573 |  5.96E-01 |  0.928467 |  0.928734 |      8.00 |      7.00 |  0.000835 |  0.522094 |  9.15E-03 |     15.67 | 
|         1 |      1579 |  5.96E-01 |  0.928559 |  0.928734 |      8.00 |      7.00 |  0.000835 |  0.374826 |  9.14E-03 |     16.80 | 
|         2 |       143 |  6.24E-01 |  0.928748 |  0.928748 |      8.00 |      7.00 |  0.000833 |  0.835962 |  8.98E-03 |     17.26 | 
|         2 |       286 |  6.56E-01 |  0.928297 |  0.928748 |      8.00 |      7.00 |  0.000831 |  0.896551 |  8.82E-03 |     19.04 | 
|         2 |       429 |  6.31E-01 |  0.928323 |  0.928748 |      8.00 |      7.00 |  0.000828 |  0.469032 |  8.64E-03 |     20.70 | 
|         2 |       572 |  6.44E-01 |  0.928117 |  0.928748 |      8.00 |      7.00 |  0.000826 |  0.371911 |  8.45E-03 |     22.57 | 
|         2 |       715 |  6.31E-01 |  0.928321 |  0.928748 |      8.00 |      7.00 |  0.000824 |  0.526896 |  8.25E-03 |     24.23 | 
|         2 |       858 |  6.26E-01 |  0.928492 |  0.928748 |      8.00 |      7.00 |  0.000823 |  0.479396 |  8.05E-03 |     25.90 | 
|         2 |      1001 |  6.18E-01 |  0.928415 |  0.928748 |      8.00 |      7.00 |  0.000821 |  1.003896 |  7.83E-03 |     27.68 | 
|         2 |      1144 |  6.14E-01 |  0.928499 |  0.928748 |      8.00 |      7.00 |  0.000819 |  0.589106 |  7.61E-03 |     29.47 | 
|         2 |      1287 |  6.29E-01 |  0.928584 |  0.928748 |      8.00 |      7.00 |  0.000817 |  0.573829 |  7.38E-03 |     31.27 | 
|         2 |      1430 |  6.22E-01 |  0.928506 |  0.928748 |      8.00 |      7.00 |  0.000815 |  0.551270 |  7.14E-03 |     33.05 | 
|         2 |      1573 |  6.22E-01 |  0.928455 |  0.928748 |      8.00 |      7.00 |  0.000814 |  0.646642 |  6.90E-03 |     34.83 | 
|         2 |      1579 |  6.25E-01 |  0.928424 |  0.928748 |      8.00 |      7.00 |  0.000814 |  0.978924 |  6.89E-03 |     36.18 | 
|         3 |       143 |  5.63E-01 |  0.928661 |  0.928748 |      8.00 |      7.00 |  0.000812 |  0.562707 |  6.65E-03 |     36.66 | 
|         3 |       286 |  5.96E-01 |  0.928258 |  0.928748 |      8.00 |      7.00 |  0.000811 |  0.592520 |  6.40E-03 |     38.43 | 
|         3 |       429 |  5.77E-01 |  0.928212 |  0.928748 |      8.00 |      7.00 |  0.000809 |  0.710735 |  6.14E-03 |     40.21 | 
|         3 |       572 |  6.06E-01 |  0.928342 |  0.928748 |      8.00 |      7.00 |  0.000808 |  0.637988 |  5.89E-03 |     41.99 | 
|         3 |       715 |  5.87E-01 |  0.928586 |  0.928748 |      8.00 |      7.00 |  0.000806 |  0.314436 |  5.63E-03 |     43.76 | 
|         3 |       858 |  5.88E-01 |  0.928581 |  0.928748 |      8.00 |      7.00 |  0.000805 |  0.569679 |  5.38E-03 |     45.54 | 
|         3 |      1001 |  5.92E-01 |  0.928492 |  0.928748 |      8.00 |      7.00 |  0.000804 |  0.563390 |  5.12E-03 |     47.34 | 
|         3 |      1144 |  6.21E-01 |  0.928320 |  0.928748 |      8.00 |      7.00 |  0.000803 |  0.852482 |  4.87E-03 |     49.15 | 
|         3 |      1287 |  6.35E-01 |  0.928166 |  0.928748 |      8.00 |      7.00 |  0.000802 |  0.541644 |  4.62E-03 |     51.02 | 
|         3 |      1430 |  6.29E-01 |  0.928455 |  0.928748 |      8.00 |      7.00 |  0.000801 |  0.575661 |  4.37E-03 |     52.80 | 
|         3 |      1573 |  6.25E-01 |  0.928265 |  0.928748 |      8.00 |      7.00 |  0.000800 |  0.628296 |  4.12E-03 |     54.57 | 
|         3 |      1579 |  6.24E-01 |  0.928265 |  0.928748 |      8.00 |      7.00 |  0.000800 |  0.999408 |  4.11E-03 |     55.93 | 
|         4 |       143 |  6.70E-01 |  0.928130 |  0.928748 |      8.00 |      7.00 |  0.000799 |  0.442970 |  3.87E-03 |     56.44 | 
|         4 |       286 |  6.40E-01 |  0.928695 |  0.928748 |      8.00 |      7.00 |  0.000798 |  0.728046 |  3.63E-03 |     58.21 | 
|         4 |       429 |  6.17E-01 |  0.928163 |  0.928748 |      8.00 |      7.00 |  0.000797 |  0.573201 |  3.40E-03 |     59.99 | 
|         4 |       572 |  6.24E-01 |  0.928295 |  0.928748 |      8.00 |      7.00 |  0.000796 |  1.252500 |  3.18E-03 |     61.77 | 
|         4 |       715 |  6.13E-01 |  0.928260 |  0.928748 |      8.00 |      7.00 |  0.000796 |  0.310119 |  2.97E-03 |     63.59 | 
|         4 |       858 |  5.98E-01 |  0.928695 |  0.928748 |      8.00 |      7.00 |  0.000795 |  0.490066 |  2.76E-03 |     65.37 | 
|         4 |      1001 |  6.22E-01 |  0.928130 |  0.928748 |      8.00 |      7.00 |  0.000794 |  0.461166 |  2.56E-03 |     67.14 | 
|         4 |      1144 |  6.22E-01 |  0.928397 |  0.928748 |      8.00 |      7.00 |  0.000794 |  0.328403 |  2.37E-03 |     68.93 | 
|         4 |      1287 |  6.18E-01 |  0.928354 |  0.928748 |      8.00 |      7.00 |  0.000793 |  0.615788 |  2.19E-03 |     70.71 | 
|         4 |      1430 |  6.15E-01 |  0.928323 |  0.928748 |      8.00 |      7.00 |  0.000793 |  0.452709 |  2.02E-03 |     72.49 | 
|         4 |      1573 |  6.25E-01 |  0.928354 |  0.928748 |      8.00 |      7.00 |  0.000792 |  0.799920 |  1.87E-03 |     74.27 | 
|         4 |      1579 |  6.24E-01 |  0.928354 |  0.928748 |      8.00 |      7.00 |  0.000792 |  0.710854 |  1.86E-03 |     75.65 | 
|         5 |       143 |  5.93E-01 |  0.928346 |  0.928748 |      8.00 |      7.00 |  0.000792 |  1.650359 |  1.72E-03 |     76.13 | 
|         5 |       286 |  5.88E-01 |  0.928292 |  0.928748 |      8.00 |      7.00 |  0.000792 |  0.982233 |  1.58E-03 |     78.00 | 
|         5 |       429 |  6.48E-01 |  0.928368 |  0.928748 |      8.00 |      7.00 |  0.000791 |  0.271922 |  1.46E-03 |     79.83 | 
|         5 |       572 |  6.26E-01 |  0.928240 |  0.928748 |      8.00 |      7.00 |  0.000791 |  0.678470 |  1.36E-03 |     81.61 | 
|         5 |       715 |  6.40E-01 |  0.928252 |  0.928748 |      8.00 |      7.00 |  0.000791 |  0.621674 |  1.26E-03 |     83.38 | 
|         5 |       858 |  6.35E-01 |  0.928260 |  0.928748 |      8.00 |      7.00 |  0.000790 |  0.584136 |  1.18E-03 |     85.17 | 
|         5 |      1001 |  6.28E-01 |  0.928221 |  0.928748 |      8.00 |      7.00 |  0.000790 |  0.795051 |  1.12E-03 |     86.95 | 
