*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 08:20:05 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  5.96E-01 |  0.928924 |  0.928924 |      8.00 |      7.00 |  0.387270 |  0.504601 |  9.99E-03 |      0.44 | 
|         1 |       286 |  5.86E-01 |  0.929110 |  0.929110 |      8.00 |      7.00 |  2.391608 |  0.990377 |  9.97E-03 |      1.95 | 
|         1 |       429 |  5.68E-01 |  0.930784 |  0.930784 |      8.00 |      7.00 |  9.301335 |  3.515169 |  9.93E-03 |      3.46 | 
|         1 |       572 |  5.49E-01 |  0.931104 |  0.931104 |      8.00 |      7.00 |  0.803094 |  0.435138 |  9.88E-03 |      4.96 | 
|         1 |       715 |  5.25E-01 |  0.925586 |  0.931104 |      8.00 |      7.00 |  4.391389 |  4.222685 |  9.82E-03 |      6.48 | 
|         1 |       858 |  5.57E-01 |  0.934348 |  0.934348 |      8.00 |      7.00 |  1.082496 |  0.735702 |  9.74E-03 |      7.98 | 
|         1 |      1001 |  5.48E-01 |  0.932413 |  0.934348 |      8.00 |      7.00 |  1.531851 |  0.875254 |  9.65E-03 |      9.48 | 
|         1 |      1144 |  5.44E-01 |  0.929902 |  0.934348 |      8.00 |      7.00 |  0.286676 |  0.466495 |  9.54E-03 |     11.01 | 
|         1 |      1287 |  5.56E-01 |  0.928715 |  0.934348 |      8.00 |      7.00 |  0.472964 |  0.506932 |  9.42E-03 |     12.52 | 
|         1 |      1430 |  5.59E-01 |  0.930392 |  0.934348 |      8.00 |      7.00 |  0.317845 |  0.661057 |  9.29E-03 |     14.07 | 
|         1 |      1573 |  5.49E-01 |  0.928800 |  0.934348 |      8.00 |      7.00 |  0.579816 |  0.624936 |  9.15E-03 |     15.57 | 
|         1 |      1579 |  5.48E-01 |  0.929110 |  0.934348 |      8.00 |      7.00 |  0.496658 |  0.766500 |  9.14E-03 |     16.69 | 
|         2 |       143 |  5.23E-01 |  0.929865 |  0.934348 |      8.00 |      7.00 |  0.525613 |  1.386096 |  8.98E-03 |     17.14 | 
|         2 |       286 |  5.90E-01 |  0.928782 |  0.934348 |      8.00 |      7.00 |  0.721397 |  0.733724 |  8.82E-03 |     18.64 | 
|         2 |       429 |  5.76E-01 |  0.928634 |  0.934348 |      8.00 |      7.00 |  1.394493 |  2.281686 |  8.64E-03 |     20.15 | 
|         2 |       572 |  6.11E-01 |  0.928892 |  0.934348 |      8.00 |      7.00 |  0.160100 |  0.646428 |  8.45E-03 |     21.66 | 
|         2 |       715 |  6.16E-01 |  0.928552 |  0.934348 |      8.00 |      7.00 |  0.198954 |  0.585024 |  8.25E-03 |     23.23 | 
