*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Mar  9 08:42:04 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        74 |  4.24E-01 |  0.899429 |  0.899429 |     15.76 |     15.18 |  0.106664 |  0.160289 |  1.00E-02 |      0.20 | 
|         1 |       148 |  2.63E-01 |  0.901742 |  0.901742 |     15.77 |     15.07 |  0.147907 |  0.094921 |  1.00E-02 |      0.77 | 
|         1 |       222 |  2.08E-01 |  0.898993 |  0.901742 |     16.17 |     15.15 |  0.207106 |  0.257567 |  1.00E-02 |      1.36 | 
|         1 |       296 |  1.82E-01 |  0.886007 |  0.901742 |     16.64 |     15.45 |  0.238496 |  0.294122 |  9.99E-03 |      1.96 | 
|         1 |       370 |  1.60E-01 |  0.901851 |  0.901851 |     16.90 |     15.60 |  0.342254 |  0.321220 |  9.99E-03 |      2.59 | 
|         1 |       444 |  1.53E-01 |  0.880570 |  0.901851 |     16.98 |     15.69 |  0.120379 |  0.110412 |  9.98E-03 |      3.21 | 
|         1 |       518 |  1.35E-01 |  0.884643 |  0.901851 |     17.00 |     15.64 |  0.104441 |  0.096892 |  9.98E-03 |      3.81 | 
|         1 |       592 |  1.25E-01 |  0.901821 |  0.901851 |     17.04 |     15.61 |  0.128580 |  0.126360 |  9.97E-03 |      4.41 | 
|         1 |       666 |  1.13E-01 |  0.913649 |  0.913649 |     17.02 |     15.55 |  0.117727 |  0.096493 |  9.96E-03 |      5.01 | 
|         1 |       740 |  1.05E-01 |  0.892019 |  0.913649 |     17.03 |     15.50 |  0.074011 |  0.059854 |  9.96E-03 |      5.61 | 
|         1 |       814 |  9.71E-02 |  0.893073 |  0.913649 |     17.03 |     15.47 |  0.182862 |  0.155334 |  9.95E-03 |      6.21 | 
|         1 |       823 |  9.62E-02 |  0.897509 |  0.913649 |     17.02 |     15.46 |  0.107715 |  0.087931 |  9.94E-03 |      6.64 | 
|         2 |        74 |  1.29E-02 |  0.885572 |  0.913649 |     17.11 |     14.99 |  0.136246 |  0.133167 |  9.93E-03 |      6.84 | 
|         2 |       148 |  4.01E-02 |  0.904494 |  0.913649 |     17.16 |     15.31 |  0.183814 |  0.173208 |  9.92E-03 |      7.45 | 
|         2 |       222 |  3.43E-02 |  0.881602 |  0.913649 |     17.26 |     15.30 |  0.099812 |  0.088827 |  9.91E-03 |      8.05 | 
|         2 |       296 |  2.88E-02 |  0.900979 |  0.913649 |     17.41 |     15.27 |  0.094678 |  0.083230 |  9.90E-03 |      8.66 | 
|         2 |       370 |  2.53E-02 |  0.889044 |  0.913649 |     17.56 |     15.32 |  0.168008 |  0.155564 |  9.88E-03 |      9.28 | 
|         2 |       444 |  2.48E-02 |  0.892639 |  0.913649 |     17.63 |     15.38 |  0.151201 |  0.114730 |  9.87E-03 |      9.90 | 
|         2 |       518 |  2.47E-02 |  0.910557 |  0.913649 |     17.83 |     15.53 |  0.191398 |  0.193531 |  9.85E-03 |     10.53 | 
|         2 |       592 |  3.23E-02 |  0.898593 |  0.913649 |     18.07 |     15.78 |  0.239752 |  0.193292 |  9.84E-03 |     11.18 | 
|         2 |       666 |  3.04E-02 |  0.886650 |  0.913649 |     18.33 |     15.93 |  0.188778 |  0.164827 |  9.82E-03 |     11.85 | 
|         2 |       740 |  2.83E-02 |  0.875907 |  0.913649 |     18.58 |     16.10 |  0.360472 |  0.085909 |  9.80E-03 |     12.53 | 
|         2 |       814 |  2.93E-02 |  0.882353 |  0.913649 |     18.81 |     16.27 |  0.208071 |  0.190345 |  9.78E-03 |     13.23 | 
|         2 |       823 |  2.92E-02 |  0.891784 |  0.913649 |     18.83 |     16.29 |  1.889057 |  0.608723 |  9.78E-03 |     13.71 | 
|         3 |        74 |  6.63E-02 |  0.894245 |  0.913649 |     21.45 |     19.22 |  0.092388 |  0.080144 |  9.76E-03 |     13.95 | 
|         3 |       148 |  3.85E-02 |  0.895977 |  0.913649 |     22.40 |     19.13 |  0.112848 |  0.062158 |  9.74E-03 |     14.68 | 
|         3 |       222 |  2.93E-02 |  0.898644 |  0.913649 |     23.00 |     19.36 |  0.102378 |  0.083832 |  9.72E-03 |     15.44 | 
|         3 |       296 |  2.38E-02 |  0.887681 |  0.913649 |     23.48 |     19.50 |  0.112142 |  0.093726 |  9.69E-03 |     16.21 | 
|         3 |       370 |  3.85E-02 |  0.902044 |  0.913649 |     23.94 |     20.23 |  0.075971 |  0.048107 |  9.67E-03 |     16.99 | 
|         3 |       444 |  3.39E-02 |  0.912478 |  0.913649 |     24.65 |     20.80 |  0.067037 |  0.063394 |  9.65E-03 |     17.84 | 
|         3 |       518 |  3.23E-02 |  0.883035 |  0.913649 |     25.31 |     21.36 |  0.178845 |  0.153231 |  9.62E-03 |     18.73 | 
|         3 |       592 |  3.10E-02 |  0.905308 |  0.913649 |     26.00 |     22.06 |  0.073060 |  0.059948 |  9.60E-03 |     19.63 | 
|         3 |       666 |  3.25E-02 |  0.891015 |  0.913649 |     26.59 |     22.62 |  2.426494 |  0.735533 |  9.57E-03 |     20.57 | 
|         3 |       740 |  3.19E-02 |  0.901318 |  0.913649 |     27.24 |     23.23 |  0.105919 |  0.086849 |  9.54E-03 |     21.53 | 
|         3 |       814 |  3.34E-02 |  0.885930 |  0.913649 |     27.85 |     23.80 |  0.572065 |  0.468168 |  9.51E-03 |     22.54 | 
|         3 |       823 |  3.41E-02 |  0.895374 |  0.913649 |     27.83 |     23.81 |  0.553456 |  0.195045 |  9.51E-03 |     23.19 | 
