*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Feb 16 21:17:16 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  6.03E-01 |  0.931353 |  0.931353 |     20.76 |     21.16 |  0.093540 |  0.151799 |  1.00E-02 |      0.18 | 
|         1 |        74 |  4.07E-01 |  0.930439 |  0.931353 |     20.20 |     20.14 |  0.262341 |  0.370391 |  1.00E-02 |      0.58 | 
|         1 |       111 |  3.08E-01 |  0.936610 |  0.936610 |     19.34 |     19.00 |  0.138839 |  0.200516 |  1.00E-02 |      0.97 | 
|         1 |       148 |  2.55E-01 |  0.938405 |  0.938405 |     18.85 |     18.37 |  0.053334 |  0.125095 |  9.99E-03 |      1.33 | 
|         1 |       185 |  2.21E-01 |  0.936543 |  0.938405 |     18.86 |     18.21 |  0.143422 |  0.181930 |  9.99E-03 |      1.72 | 
|         1 |       222 |  1.95E-01 |  0.936539 |  0.938405 |     19.12 |     18.28 |  0.249254 |  0.362200 |  9.98E-03 |      2.14 | 
|         1 |       259 |  1.77E-01 |  0.942883 |  0.942883 |     19.45 |     18.48 |  0.104955 |  0.168799 |  9.98E-03 |      2.56 | 
|         1 |       296 |  1.77E-01 |  0.948937 |  0.948937 |     20.05 |     19.01 |  0.519182 |  0.522221 |  9.97E-03 |      3.08 | 
|         1 |       333 |  1.67E-01 |  0.939247 |  0.948937 |     20.63 |     19.46 |  0.087126 |  0.076178 |  9.96E-03 |      3.57 | 
|         1 |       370 |  1.54E-01 |  0.925219 |  0.948937 |     21.22 |     19.97 |  0.086178 |  0.100550 |  9.95E-03 |      4.06 | 
|         1 |       407 |  1.46E-01 |  0.883339 |  0.948937 |     21.84 |     20.45 |  0.917107 |  0.884573 |  9.94E-03 |      4.57 | 
|         2 |        37 |  4.19E-02 |  0.926935 |  0.948937 |     32.00 |     27.62 |  0.119639 |  0.096325 |  9.93E-03 |      4.78 | 
|         2 |        74 |  2.91E-02 |  0.930374 |  0.948937 |     32.18 |     27.53 |  0.053231 |  0.055816 |  9.92E-03 |      5.38 | 
|         2 |       111 |  2.30E-02 |  0.915258 |  0.948937 |     32.23 |     27.18 |  0.114462 |  0.107145 |  9.91E-03 |      5.95 | 
|         2 |       148 |  2.12E-02 |  0.920085 |  0.948937 |     32.26 |     27.34 |  0.134630 |  0.139748 |  9.90E-03 |      6.53 | 
|         2 |       185 |  2.51E-02 |  0.896898 |  0.948937 |     32.35 |     27.61 |  0.270958 |  0.261480 |  9.88E-03 |      7.10 | 
|         2 |       222 |  2.53E-02 |  0.915789 |  0.948937 |     32.52 |     27.61 |  0.064776 |  0.066092 |  9.87E-03 |      7.69 | 
|         2 |       259 |  2.33E-02 |  0.914868 |  0.948937 |     32.67 |     27.60 |  0.038219 |  0.036033 |  9.85E-03 |      8.29 | 
|         2 |       296 |  2.24E-02 |  0.923832 |  0.948937 |     32.79 |     27.75 |  0.101263 |  0.097902 |  9.84E-03 |      8.91 | 
|         2 |       333 |  2.13E-02 |  0.923235 |  0.948937 |     32.90 |     27.70 |  0.109322 |  0.104194 |  9.82E-03 |      9.50 | 
|         2 |       370 |  2.42E-02 |  0.844267 |  0.948937 |     32.95 |     27.64 |  0.634467 |  0.427479 |  9.80E-03 |     10.09 | 
|         2 |       407 |  3.61E-02 |  0.922601 |  0.948937 |     34.16 |     29.07 |  0.113435 |  0.100214 |  9.78E-03 |     10.74 | 
|         3 |        37 |  1.73E-02 |  0.917171 |  0.948937 |     50.00 |     48.57 |  0.074956 |  0.078143 |  9.76E-03 |     11.05 | 
|         3 |        74 |  2.48E-02 |  0.928971 |  0.948937 |     50.00 |     46.99 |  0.063039 |  0.064153 |  9.74E-03 |     11.85 | 
|         3 |       111 |  2.82E-02 |  0.920444 |  0.948937 |     49.98 |     45.94 |  0.389429 |  0.179180 |  9.72E-03 |     12.64 | 
|         3 |       148 |  2.47E-02 |  0.915014 |  0.948937 |     49.94 |     45.21 |  0.123742 |  0.112286 |  9.69E-03 |     13.43 | 
|         3 |       185 |  2.23E-02 |  0.924244 |  0.948937 |     49.90 |     44.75 |  0.054533 |  0.036835 |  9.67E-03 |     14.22 | 
|         3 |       222 |  1.98E-02 |  0.911615 |  0.948937 |     49.85 |     44.06 |  0.149790 |  0.135936 |  9.65E-03 |     15.00 | 
|         3 |       259 |  1.78E-02 |  0.915400 |  0.948937 |     49.77 |     43.52 |  0.110362 |  0.104309 |  9.62E-03 |     15.78 | 
|         3 |       296 |  1.65E-02 |  0.910046 |  0.948937 |     49.72 |     43.00 |  0.108623 |  0.099612 |  9.59E-03 |     16.56 | 
|         3 |       333 |  1.57E-02 |  0.923106 |  0.948937 |     49.65 |     42.58 |  0.127043 |  0.114017 |  9.57E-03 |     17.33 | 
|         3 |       370 |  2.31E-02 |  0.902151 |  0.948937 |     49.46 |     42.68 |  0.396163 |  0.370877 |  9.54E-03 |     18.11 | 
