*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Feb 16 21:20:07 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  5.59E-01 |  0.928590 |  0.928590 |     18.16 |     18.24 |  0.053111 |  0.164192 |  1.00E-02 |      0.15 | 
|         1 |        74 |  3.83E-01 |  0.939036 |  0.939036 |     18.73 |     18.55 |  0.058672 |  0.100709 |  1.00E-02 |      0.52 | 
|         1 |       111 |  2.92E-01 |  0.940580 |  0.940580 |     20.29 |     20.05 |  0.179589 |  0.206100 |  1.00E-02 |      0.97 | 
|         1 |       148 |  2.45E-01 |  0.943442 |  0.943442 |     20.70 |     20.22 |  0.178128 |  0.216215 |  9.99E-03 |      1.40 | 
|         1 |       185 |  2.18E-01 |  0.941492 |  0.943442 |     20.83 |     20.17 |  0.095505 |  0.114015 |  9.99E-03 |      1.82 | 
|         1 |       222 |  2.04E-01 |  0.943544 |  0.943544 |     20.90 |     20.13 |  0.172955 |  0.205782 |  9.98E-03 |      2.26 | 
|         1 |       259 |  1.90E-01 |  0.935361 |  0.943544 |     21.20 |     20.27 |  0.481776 |  0.382587 |  9.98E-03 |      2.70 | 
|         1 |       296 |  1.76E-01 |  0.939847 |  0.943544 |     21.51 |     20.50 |  0.109507 |  0.087300 |  9.97E-03 |      3.16 | 
|         1 |       333 |  1.66E-01 |  0.947493 |  0.947493 |     21.84 |     20.71 |  0.177353 |  0.189202 |  9.96E-03 |      3.61 | 
|         1 |       370 |  1.59E-01 |  0.944676 |  0.947493 |     22.15 |     20.94 |  0.152814 |  0.192563 |  9.95E-03 |      4.08 | 
|         1 |       407 |  1.52E-01 |  0.946503 |  0.947493 |     22.30 |     21.08 |  0.130296 |  0.134277 |  9.94E-03 |      4.55 | 
|         2 |        37 |  2.95E-02 |  0.936444 |  0.947493 |     23.59 |     21.19 |  0.062285 |  0.066366 |  9.93E-03 |      4.73 | 
|         2 |        74 |  6.43E-02 |  0.922074 |  0.947493 |     23.97 |     21.62 |  0.247878 |  0.179186 |  9.92E-03 |      5.20 | 
|         2 |       111 |  6.31E-02 |  0.929976 |  0.947493 |     24.45 |     22.36 |  0.107916 |  0.061115 |  9.91E-03 |      5.67 | 
|         2 |       148 |  5.17E-02 |  0.913538 |  0.947493 |     25.07 |     22.55 |  0.204642 |  0.227947 |  9.90E-03 |      6.16 | 
|         2 |       185 |  4.66E-02 |  0.919988 |  0.947493 |     25.61 |     22.76 |  0.050086 |  0.048781 |  9.88E-03 |      6.67 | 
|         2 |       222 |  4.10E-02 |  0.944289 |  0.947493 |     26.16 |     22.93 |  0.164742 |  0.208755 |  9.87E-03 |      7.19 | 
|         2 |       259 |  3.71E-02 |  0.930886 |  0.947493 |     26.67 |     23.21 |  0.032601 |  0.031725 |  9.85E-03 |      7.72 | 
|         2 |       296 |  3.63E-02 |  0.901817 |  0.947493 |     27.10 |     23.40 |  0.243730 |  0.262241 |  9.84E-03 |      8.26 | 
|         2 |       333 |  3.47E-02 |  0.927423 |  0.947493 |     27.35 |     23.63 |  0.101560 |  0.107216 |  9.82E-03 |      8.81 | 
