*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 09:02:13 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  7.18E-01 |  0.928509 |  0.928509 |      8.00 |      7.00 |  0.051629 |  0.604115 |  9.99E-03 |      0.49 | 
|         1 |       286 |  6.78E-01 |  0.912243 |  0.928509 |      8.00 |      7.00 |  1.329959 |  0.538220 |  9.97E-03 |      2.03 | 
|         1 |       429 |  6.37E-01 |  0.928620 |  0.928620 |      8.00 |      7.00 |  2.472388 |  4.212396 |  9.93E-03 |      3.59 | 
|         1 |       572 |       NAN |-100000002004087734272.000000 |  0.928620 |      8.00 |      7.00 |       nan |       nan |  9.88E-03 |      5.14 | 
-------------------------------------------------------------------------------------------------------------------------------------
