*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 09:04:23 2024 
|         4 |       858 |  6.53E-01 |  0.928441 |  0.934661 |      8.00 |      7.00 |  0.001757 |  0.571149 |  2.76E-03 |     64.47 | 
|         4 |      1001 |  6.46E-01 |  0.928229 |  0.934661 |      8.00 |      7.00 |  0.001755 |  1.984278 |  2.56E-03 |     66.31 | 
|         4 |      1144 |  6.47E-01 |  0.928271 |  0.934661 |      8.00 |      7.00 |  0.001754 |  0.530647 |  2.37E-03 |     68.14 | 
|         4 |      1287 |  6.40E-01 |  0.928586 |  0.934661 |      8.00 |      7.00 |  0.001753 |  0.439894 |  2.19E-03 |     69.95 | 
|         4 |      1430 |  6.34E-01 |  0.928354 |  0.934661 |      8.00 |      7.00 |  0.001752 |  0.636657 |  2.02E-03 |     71.78 | 
|         4 |      1573 |  6.24E-01 |  0.928130 |  0.934661 |      8.00 |      7.00 |  0.001751 |  0.502163 |  1.87E-03 |     73.61 | 
|         4 |      1579 |  6.24E-01 |  0.928193 |  0.934661 |      8.00 |      7.00 |  0.001751 |  0.612013 |  1.86E-03 |     74.98 | 
|         5 |       143 |  7.69E-01 |  0.928221 |  0.934661 |      8.00 |      7.00 |  0.001750 |  0.438590 |  1.72E-03 |     75.50 | 
|         5 |       286 |  6.92E-01 |  0.928441 |  0.934661 |      8.00 |      7.00 |  0.001749 |  0.637296 |  1.58E-03 |     77.31 | 
|         5 |       429 |  7.12E-01 |  0.928088 |  0.934661 |      8.00 |      7.00 |  0.001748 |  0.426129 |  1.46E-03 |     79.13 | 
|         5 |       572 |  6.73E-01 |  0.928330 |  0.934661 |      8.00 |      7.00 |  0.001748 |  0.816782 |  1.36E-03 |     80.95 | 
|         5 |       715 |  6.50E-01 |  0.928193 |  0.934661 |      8.00 |      7.00 |  0.001747 |  0.729855 |  1.26E-03 |     82.76 | 
|         5 |       858 |  6.55E-01 |  0.928287 |  0.934661 |      8.00 |      7.00 |  0.001746 |  0.533202 |  1.18E-03 |     84.58 | 
|         5 |      1001 |  6.46E-01 |  0.928256 |  0.934661 |      8.00 |      7.00 |  0.001746 |  0.705993 |  1.12E-03 |     86.40 | 
|         5 |      1144 |  6.43E-01 |  0.928472 |  0.934661 |      8.00 |      7.00 |  0.001745 |  0.862469 |  1.07E-03 |     88.23 | 
|         5 |      1287 |  6.33E-01 |  0.928368 |  0.934661 |      8.00 |      7.00 |  0.001745 |  0.578912 |  1.03E-03 |     90.09 | 
|         5 |      1430 |  6.24E-01 |  0.928221 |  0.934661 |      8.00 |      7.00 |  0.001744 |  0.269874 |  1.01E-03 |     91.96 | 
|         5 |      1573 |  6.25E-01 |  0.928300 |  0.934661 |      8.00 |      7.00 |  0.001744 |  0.326320 |  1.00E-03 |     93.76 | 
|         5 |      1579 |  6.24E-01 |  0.928300 |  0.934661 |      8.00 |      7.00 |  0.001744 |  0.334230 |  1.00E-03 |     95.12 | 
-------------------------------------------------------------------------------------------------------------------------------------
