*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 14:31:52 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  6.21E-01 |  0.925113 |  0.925113 |     21.14 |     21.01 |  0.570580 |  0.645732 |  9.99E-03 |      1.11 | 
|         1 |       286 |  5.99E-01 |  0.934289 |  0.934289 |     21.09 |     20.46 |  0.981934 |  1.040777 |  9.97E-03 |      7.70 | 
|         1 |       429 |  5.26E-01 |  0.938185 |  0.938185 |     21.01 |     20.42 |  1.722744 |  1.716167 |  9.93E-03 |     14.43 | 
|         1 |       572 |  4.97E-01 |  0.938008 |  0.938185 |     21.13 |     20.43 |  0.591096 |  0.521545 |  9.88E-03 |     21.18 | 
|         1 |       715 |  4.72E-01 |  0.934755 |  0.938185 |     21.08 |     20.29 |  5.249808 |  0.564205 |  9.82E-03 |     27.85 | 
|         1 |       858 |  4.73E-01 |  0.933906 |  0.938185 |     21.03 |     20.17 |  2.958583 |  1.247082 |  9.74E-03 |     34.82 | 
|         1 |      1001 |  4.69E-01 |  0.934920 |  0.938185 |     20.94 |     20.16 |  3.648812 |  4.000053 |  9.65E-03 |     40.92 | 
|         1 |      1144 |  4.56E-01 |  0.932226 |  0.938185 |     21.59 |     20.73 |  1.208018 |  0.688423 |  9.54E-03 |     48.40 | 
|         1 |      1287 |  4.29E-01 |  0.941456 |  0.941456 |     22.05 |     21.05 |  0.815950 |  0.564995 |  9.42E-03 |     56.53 | 
|         1 |      1430 |  4.14E-01 |  0.941946 |  0.941946 |     22.41 |     21.38 |  0.404009 |  0.281259 |  9.29E-03 |     64.09 | 
|         1 |      1573 |  3.99E-01 |  0.948302 |  0.948302 |     23.10 |     22.10 | 32.366291 |  3.600466 |  9.15E-03 |     72.42 | 
|         1 |      1579 |  3.98E-01 |  0.946631 |  0.948302 |     23.11 |     22.12 |  0.441288 |  0.277893 |  9.14E-03 |     79.57 | 
|         2 |       143 |  2.61E-01 |  0.940538 |  0.948302 |     25.85 |     25.36 |  1.412655 |  1.403141 |  8.98E-03 |     80.78 | 
|         2 |       286 |  2.63E-01 |  0.937875 |  0.948302 |     24.98 |     24.84 |  1.768044 |  0.965216 |  8.82E-03 |     88.60 | 
|         2 |       429 |  2.94E-01 |  0.946179 |  0.948302 |     27.15 |     26.64 |  1.536066 |  0.912123 |  8.64E-03 |     97.84 | 
|         2 |       572 |  3.09E-01 |  0.932739 |  0.948302 |     29.85 |     29.48 |  2.325783 |  2.358502 |  8.45E-03 |    108.31 | 
|         2 |       715 |  3.05E-01 |  0.938625 |  0.948302 |     31.27 |     30.97 |  1.048615 |  0.693442 |  8.25E-03 |    117.45 | 
|         2 |       858 |  3.02E-01 |  0.931922 |  0.948302 |     33.65 |     33.31 | 19.704304 |  3.825425 |  8.05E-03 |    128.48 | 
|         2 |      1001 |  3.19E-01 |  0.942797 |  0.948302 |     34.02 |     33.63 |  0.999732 |  0.674696 |  7.83E-03 |    140.86 | 
|         2 |      1144 |  3.27E-01 |  0.946773 |  0.948302 |     34.11 |     33.70 |  2.466393 |  1.597636 |  7.61E-03 |    151.32 | 
|         2 |      1287 |  3.23E-01 |  0.945675 |  0.948302 |     34.24 |     33.81 |  1.065899 |  0.775384 |  7.38E-03 |    162.44 | 
|         2 |      1430 |  3.39E-01 |  0.935246 |  0.948302 |     34.15 |     33.60 | 12.727710 |  3.671461 |  7.14E-03 |    172.62 | 
|         2 |      1573 |  3.76E-01 |  0.928670 |  0.948302 |     34.16 |     33.62 |  2.206205 |  4.266098 |  6.90E-03 |    183.46 | 
|         2 |      1579 |  3.76E-01 |  0.925038 |  0.948302 |     34.16 |     33.62 |  1.103351 |  0.756598 |  6.89E-03 |    192.79 | 
|         3 |       143 |  7.86E-01 |  0.928237 |  0.948302 |      1.87 |      1.83 |       nan |       nan |  6.65E-03 |    193.32 | 
|         3 |       286 |  6.94E-01 |  0.928237 |  0.948302 |      1.44 |      1.41 |       nan |       nan |  6.40E-03 |    195.02 | 
|         3 |       429 |  6.83E-01 |  0.928237 |  0.948302 |      1.29 |      1.28 |       nan |       nan |  6.14E-03 |    196.71 | 
|         3 |       572 |  6.76E-01 |  0.928237 |  0.948302 |      1.22 |      1.21 |       nan |  1.280829 |  5.89E-03 |    198.44 | 
