*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Feb 17 10:53:57 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  9.77E-01 |  0.935386 |  0.935386 |     11.00 |     11.00 |  0.094628 |  0.302038 |  1.00E-02 |      0.12 | 
|         1 |        74 |  9.68E-01 |  0.937846 |  0.937846 |     11.00 |     11.00 |  0.054479 |  0.185663 |  1.00E-02 |      0.44 | 
|         1 |       111 |  9.84E-01 |  0.938085 |  0.938085 |     11.01 |     11.01 |  0.059174 |  0.236335 |  1.00E-02 |      0.76 | 
|         1 |       148 |  9.84E-01 |  0.938702 |  0.938702 |     11.03 |     11.07 |  0.059197 |  0.224519 |  9.99E-03 |      1.08 | 
|         1 |       185 |  9.78E-01 |  0.935756 |  0.938702 |     11.14 |     11.23 |  0.100059 |  0.237301 |  9.99E-03 |      1.40 | 
|         1 |       222 |  9.36E-01 |  0.938850 |  0.938850 |     11.49 |     11.49 |  0.272201 |  0.297213 |  9.98E-03 |      1.72 | 
|         1 |       259 |  8.74E-01 |  0.949017 |  0.949017 |     11.85 |     11.72 |  1.471029 |  0.388292 |  9.98E-03 |      2.07 | 
|         1 |       296 |  8.27E-01 |  0.938063 |  0.949017 |     12.13 |     11.92 |  0.445033 |  0.144753 |  9.97E-03 |      2.42 | 
|         1 |       333 |  7.88E-01 |  0.931396 |  0.949017 |     12.34 |     12.13 |  0.278311 |  0.320684 |  9.96E-03 |      2.78 | 
|         1 |       370 |  7.39E-01 |  0.907857 |  0.949017 |     12.51 |     12.29 |  0.315154 |  0.156409 |  9.95E-03 |      3.13 | 
|         1 |       407 |  6.94E-01 |  0.917694 |  0.949017 |     12.65 |     12.37 |  0.333136 |  0.209755 |  9.94E-03 |      3.48 | 
|         2 |        37 |  2.18E-01 |  0.924685 |  0.949017 |     14.00 |     13.41 |  0.807976 |  0.548377 |  9.93E-03 |      3.62 | 
|         2 |        74 |  2.30E-01 |  0.893304 |  0.949017 |     14.03 |     13.46 |  0.727621 |  0.258201 |  9.92E-03 |      3.97 | 
|         2 |       111 |  2.21E-01 |  0.899202 |  0.949017 |     14.06 |     13.43 |  0.252073 |  0.227735 |  9.91E-03 |      4.33 | 
|         2 |       148 |  2.09E-01 |  0.910917 |  0.949017 |     14.05 |     13.39 |  0.258075 |  0.258487 |  9.90E-03 |      4.70 | 
|         2 |       185 |  1.97E-01 |  0.898154 |  0.949017 |     14.06 |     13.35 |  0.301856 |  0.228599 |  9.88E-03 |      5.06 | 
|         2 |       222 |  1.90E-01 |  0.913746 |  0.949017 |     14.14 |     13.37 |  0.572251 |  0.555793 |  9.87E-03 |      5.43 | 
|         2 |       259 |  1.92E-01 |  0.900470 |  0.949017 |     14.14 |     13.39 |  1.477937 |  0.778148 |  9.85E-03 |      5.79 | 
|         2 |       296 |  1.86E-01 |  0.906188 |  0.949017 |     14.20 |     13.41 |  0.262594 |  0.211394 |  9.84E-03 |      6.15 | 
|         2 |       333 |  1.95E-01 |  0.915414 |  0.949017 |     14.27 |     13.47 |  0.305263 |  0.205983 |  9.82E-03 |      6.53 | 
|         2 |       370 |  1.95E-01 |  0.903796 |  0.949017 |     14.34 |     13.54 |  0.272396 |  0.307218 |  9.80E-03 |      6.89 | 
|         2 |       407 |  1.92E-01 |  0.915745 |  0.949017 |     14.40 |     13.58 |  0.758108 |  0.710398 |  9.78E-03 |      7.27 | 
|         3 |        37 |  1.36E-01 |  0.909476 |  0.949017 |     15.16 |     14.14 |  0.418478 |  0.300454 |  9.76E-03 |      7.41 | 
|         3 |        74 |  1.44E-01 |  0.913359 |  0.949017 |     15.23 |     14.23 |  0.642603 |  0.562580 |  9.74E-03 |      7.79 | 
|         3 |       111 |  1.46E-01 |  0.898663 |  0.949017 |     15.39 |     14.31 |  0.215531 |  0.157315 |  9.72E-03 |      8.17 | 
|         3 |       148 |  1.43E-01 |  0.872883 |  0.949017 |     15.48 |     14.28 |  0.274678 |  0.281598 |  9.69E-03 |      8.55 | 
|         3 |       185 |  1.45E-01 |  0.879859 |  0.949017 |     15.55 |     14.29 |  0.295186 |  0.166327 |  9.67E-03 |      8.93 | 
|         3 |       222 |  1.43E-01 |  0.886483 |  0.949017 |     15.61 |     14.30 |  0.238947 |  0.183282 |  9.65E-03 |      9.31 | 
|         3 |       259 |  1.45E-01 |  0.910799 |  0.949017 |     15.66 |     14.34 |  0.233096 |  0.160197 |  9.62E-03 |      9.69 | 
|         3 |       296 |  1.45E-01 |  0.890105 |  0.949017 |     15.69 |     14.38 |  0.475788 |  0.179801 |  9.59E-03 |     10.07 | 
