*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Mar  9 00:09:31 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        74 |  7.90E-01 |  0.890346 |  0.890346 |     15.78 |     15.65 |  0.313080 |  0.417270 |  1.00E-02 |      0.23 | 
|         1 |       148 |  5.46E-01 |  0.887844 |  0.890346 |     16.57 |     16.36 |  1.000137 |  0.624479 |  1.00E-02 |      0.85 | 
|         1 |       222 |  4.08E-01 |  0.893514 |  0.893514 |     16.97 |     16.49 |  0.225310 |  0.282496 |  1.00E-02 |      1.48 | 
|         1 |       296 |  3.34E-01 |  0.899570 |  0.899570 |     17.11 |     16.41 |  0.245157 |  0.353738 |  9.99E-03 |      2.11 | 
|         1 |       370 |  2.97E-01 |  0.899011 |  0.899570 |     17.16 |     16.38 |  0.479843 |  0.501857 |  9.99E-03 |      2.73 | 
|         1 |       444 |  2.60E-01 |  0.896987 |  0.899570 |     17.23 |     16.34 |  0.085499 |  0.091194 |  9.98E-03 |      3.39 | 
|         1 |       518 |  2.42E-01 |  0.881867 |  0.899570 |     17.27 |     16.35 |  0.303067 |  0.412867 |  9.98E-03 |      4.06 | 
|         1 |       592 |  2.20E-01 |  0.897116 |  0.899570 |     17.36 |     16.34 |  0.233856 |  0.277362 |  9.97E-03 |      4.70 | 
|         1 |       666 |  2.02E-01 |  0.889291 |  0.899570 |     17.44 |     16.35 |  0.154078 |  0.129432 |  9.96E-03 |      5.35 | 
|         1 |       740 |  1.88E-01 |  0.897305 |  0.899570 |     17.48 |     16.34 |  0.303453 |  0.356893 |  9.96E-03 |      6.00 | 
|         1 |       814 |  1.85E-01 |  0.898435 |  0.899570 |     17.52 |     16.40 |  0.241411 |  0.264384 |  9.95E-03 |      6.65 | 
|         1 |       823 |  1.84E-01 |  0.903784 |  0.903784 |     17.52 |     16.41 |  0.215276 |  0.199768 |  9.94E-03 |      7.12 | 
|         2 |        74 |  6.95E-02 |  0.897418 |  0.903784 |     18.23 |     16.81 |  0.093726 |  0.113419 |  9.93E-03 |      7.35 | 
|         2 |       148 |  1.18E-01 |  0.883033 |  0.903784 |     18.36 |     17.18 |  0.309478 |  0.278584 |  9.92E-03 |      8.04 | 
|         2 |       222 |  9.55E-02 |  0.891724 |  0.903784 |     18.44 |     17.18 |  0.200850 |  0.161180 |  9.91E-03 |      8.73 | 
|         2 |       296 |  8.58E-02 |  0.896453 |  0.903784 |     18.51 |     17.21 |  0.112656 |  0.087661 |  9.90E-03 |      9.44 | 
|         2 |       370 |  8.00E-02 |  0.889693 |  0.903784 |     18.58 |     17.25 |  0.247384 |  0.209937 |  9.88E-03 |     10.18 | 
|         2 |       444 |  8.16E-02 |  0.921451 |  0.921451 |     18.73 |     17.35 |  0.173466 |  0.092647 |  9.87E-03 |     10.90 | 
|         2 |       518 |  7.95E-02 |  0.904642 |  0.921451 |     18.84 |     17.43 |  0.285973 |  0.234775 |  9.85E-03 |     11.61 | 
|         2 |       592 |  7.61E-02 |  0.870224 |  0.921451 |     18.93 |     17.51 |  0.176629 |  0.147838 |  9.84E-03 |     12.34 | 
|         2 |       666 |  7.16E-02 |  0.869913 |  0.921451 |     19.02 |     17.54 |  0.260338 |  0.225379 |  9.82E-03 |     13.05 | 
|         2 |       740 |  6.78E-02 |  0.885246 |  0.921451 |     19.09 |     17.55 |  0.150581 |  0.124057 |  9.80E-03 |     13.76 | 
|         2 |       814 |  6.46E-02 |  0.899069 |  0.921451 |     19.15 |     17.58 |  0.528284 |  0.369949 |  9.78E-03 |     14.47 | 
|         2 |       823 |  6.45E-02 |  0.838622 |  0.921451 |     19.16 |     17.60 |  0.587024 |  0.461452 |  9.78E-03 |     14.98 | 
|         3 |        74 |  6.68E-02 |  0.894297 |  0.921451 |     19.78 |     18.26 |  0.204173 |  0.174506 |  9.76E-03 |     15.22 | 
|         3 |       148 |  5.61E-02 |  0.851920 |  0.921451 |     20.14 |     18.60 |  0.585426 |  0.515401 |  9.74E-03 |     15.94 | 
|         3 |       222 |  8.55E-02 |  0.870240 |  0.921451 |     20.68 |     19.06 |  0.569725 |  0.522418 |  9.72E-03 |     16.72 | 
|         3 |       296 |  8.45E-02 |  0.879012 |  0.921451 |     21.04 |     19.55 |  0.131432 |  0.109885 |  9.69E-03 |     17.56 | 
|         3 |       370 |  7.35E-02 |  0.901036 |  0.921451 |     21.50 |     19.89 |  0.135679 |  0.082519 |  9.67E-03 |     18.39 | 
|         3 |       444 |  7.91E-02 |  0.889051 |  0.921451 |     21.87 |     20.27 |  0.184156 |  0.151311 |  9.65E-03 |     19.27 | 
|         3 |       518 |  7.28E-02 |  0.872180 |  0.921451 |     22.29 |     20.61 |  0.171457 |  0.152641 |  9.62E-03 |     20.18 | 
|         3 |       592 |  6.83E-02 |  0.851972 |  0.921451 |     22.74 |     21.01 |  0.639997 |  0.567048 |  9.60E-03 |     21.08 | 
|         3 |       666 |  6.37E-02 |  0.904640 |  0.921451 |     23.02 |     21.21 |  0.203063 |  0.206876 |  9.57E-03 |     21.96 | 
|         3 |       740 |  6.13E-02 |  0.892782 |  0.921451 |     23.39 |     21.54 |  1.326864 |  0.438001 |  9.54E-03 |     22.87 | 
|         3 |       814 |  5.80E-02 |  0.871251 |  0.921451 |     23.71 |     21.78 |  0.159731 |  0.108317 |  9.51E-03 |     23.88 | 
|         3 |       823 |  5.76E-02 |  0.895790 |  0.921451 |     23.77 |     21.82 |  0.245212 |  0.211940 |  9.51E-03 |     24.59 | 
|         4 |        74 |  2.37E-02 |  0.885188 |  0.921451 |     27.54 |     24.88 |  0.188524 |  0.175486 |  9.48E-03 |     24.89 | 
