*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Feb 17 10:56:05 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  9.96E-01 |  0.936626 |  0.936626 |     10.14 |     10.16 |  0.082107 |  0.313410 |  1.00E-02 |      0.08 | 
|         1 |        74 |  1.01E+00 |  0.937437 |  0.937437 |     10.34 |     10.19 |  0.076163 |  0.221670 |  1.00E-02 |      0.33 | 
|         1 |       111 |  9.58E-01 |  0.930760 |  0.937437 |     10.59 |     10.40 |  0.092165 |  0.169255 |  1.00E-02 |      0.59 | 
|         1 |       148 |  8.88E-01 |  0.878788 |  0.937437 |     11.13 |     10.80 |  0.223269 |  0.298443 |  9.99E-03 |      0.86 | 
|         1 |       185 |  8.13E-01 |  0.915168 |  0.937437 |     11.43 |     11.05 |  0.511049 |  0.300971 |  9.99E-03 |      1.13 | 
|         1 |       222 |  7.40E-01 |  0.928850 |  0.937437 |     11.70 |     11.26 |  0.372329 |  0.354924 |  9.98E-03 |      1.40 | 
|         1 |       259 |  6.76E-01 |  0.924506 |  0.937437 |     11.90 |     11.37 |  0.299502 |  0.212717 |  9.98E-03 |      1.67 | 
|         1 |       296 |  6.14E-01 |  0.921956 |  0.937437 |     12.04 |     11.45 |  0.202565 |  0.118117 |  9.97E-03 |      1.94 | 
|         1 |       333 |  5.65E-01 |  0.910068 |  0.937437 |     12.16 |     11.51 |  0.352599 |  0.130458 |  9.96E-03 |      2.22 | 
|         1 |       370 |  5.23E-01 |  0.921158 |  0.937437 |     12.24 |     11.55 |  0.195366 |  0.132980 |  9.95E-03 |      2.50 | 
|         1 |       407 |  4.90E-01 |  0.919672 |  0.937437 |     12.31 |     11.58 |  0.227763 |  0.124788 |  9.94E-03 |      2.77 | 
|         2 |        37 |  1.40E-01 |  0.920030 |  0.937437 |     13.00 |     11.84 |  0.387935 |  0.137835 |  9.93E-03 |      2.86 | 
|         2 |        74 |  1.43E-01 |  0.901861 |  0.937437 |     13.00 |     11.84 |  0.123697 |  0.113890 |  9.92E-03 |      3.14 | 
|         2 |       111 |  1.38E-01 |  0.903876 |  0.937437 |     13.00 |     11.83 |  0.464426 |  0.234541 |  9.91E-03 |      3.41 | 
|         2 |       148 |  1.34E-01 |  0.906718 |  0.937437 |     13.00 |     11.85 |  0.223877 |  0.198780 |  9.90E-03 |      3.68 | 
|         2 |       185 |  1.34E-01 |  0.901284 |  0.937437 |     12.99 |     11.90 |  0.369313 |  0.317926 |  9.88E-03 |      3.95 | 
|         2 |       222 |  1.29E-01 |  0.907600 |  0.937437 |     12.99 |     11.92 |  0.262672 |  0.242774 |  9.87E-03 |      4.22 | 
|         2 |       259 |  1.23E-01 |  0.918419 |  0.937437 |     12.98 |     11.93 |  0.374141 |  0.457919 |  9.85E-03 |      4.49 | 
|         2 |       296 |  1.16E-01 |  0.929639 |  0.937437 |     12.98 |     11.93 |  0.460803 |  0.383218 |  9.84E-03 |      4.74 | 
|         2 |       333 |  1.12E-01 |  0.938831 |  0.938831 |     12.98 |     11.94 |  0.362108 |  0.314801 |  9.82E-03 |      5.00 | 
|         2 |       370 |  1.11E-01 |  0.934892 |  0.938831 |     12.98 |     11.95 |  0.468642 |  0.217593 |  9.80E-03 |      5.26 | 
|         2 |       407 |  1.06E-01 |  0.931153 |  0.938831 |     12.98 |     11.95 |  0.352098 |  0.191853 |  9.78E-03 |      5.51 | 
|         3 |        37 |  4.69E-02 |  0.934885 |  0.938831 |     13.00 |     11.97 |  0.100660 |  0.065501 |  9.76E-03 |      5.60 | 
|         3 |        74 |  4.27E-02 |  0.927677 |  0.938831 |     13.01 |     12.01 |  0.296311 |  0.276439 |  9.74E-03 |      5.87 | 
|         3 |       111 |  5.22E-02 |  0.912275 |  0.938831 |     13.02 |     12.06 |  0.361362 |  0.171822 |  9.72E-03 |      6.14 | 
|         3 |       148 |  4.77E-02 |  0.922183 |  0.938831 |     13.03 |     12.03 |  0.123110 |  0.098455 |  9.69E-03 |      6.40 | 
|         3 |       185 |  4.49E-02 |  0.915425 |  0.938831 |     13.03 |     12.02 |  0.099841 |  0.074931 |  9.67E-03 |      6.67 | 
|         3 |       222 |  4.42E-02 |  0.926428 |  0.938831 |     13.04 |     12.01 |  0.126301 |  0.090701 |  9.65E-03 |      6.94 | 
|         3 |       259 |  4.27E-02 |  0.926989 |  0.938831 |     13.05 |     11.99 |  0.180092 |  0.125506 |  9.62E-03 |      7.20 | 
|         3 |       296 |  4.14E-02 |  0.924392 |  0.938831 |     13.05 |     11.97 |  0.404468 |  0.259936 |  9.59E-03 |      7.47 | 
|         3 |       333 |  4.07E-02 |  0.930366 |  0.938831 |     13.06 |     11.96 |  0.168096 |  0.124496 |  9.57E-03 |      7.74 | 
|         3 |       370 |  4.17E-02 |  0.924304 |  0.938831 |     13.06 |     11.97 |  0.106736 |  0.082529 |  9.54E-03 |      8.01 | 
|         3 |       407 |  4.12E-02 |  0.935037 |  0.938831 |     13.07 |     11.98 |  0.142741 |  0.102790 |  9.51E-03 |      8.28 | 
|         4 |        37 |  3.17E-02 |  0.925674 |  0.938831 |     13.43 |     12.00 |  0.437290 |  0.139083 |  9.48E-03 |      8.37 | 
|         4 |        74 |  3.02E-02 |  0.920455 |  0.938831 |     13.38 |     11.99 |  0.378578 |  0.101978 |  9.45E-03 |      8.64 | 
|         4 |       111 |  3.12E-02 |  0.928428 |  0.938831 |     13.35 |     11.98 |  0.176286 |  0.125504 |  9.42E-03 |      8.92 | 
|         4 |       148 |  3.22E-02 |  0.935114 |  0.938831 |     13.39 |     12.01 |  0.325158 |  0.151278 |  9.39E-03 |      9.19 | 
|         4 |       185 |  3.18E-02 |  0.927447 |  0.938831 |     13.39 |     12.01 |  0.142946 |  0.104204 |  9.35E-03 |      9.47 | 
|         4 |       222 |  3.13E-02 |  0.917283 |  0.938831 |     13.41 |     12.00 |  0.124685 |  0.163503 |  9.32E-03 |      9.74 | 
|         4 |       259 |  3.12E-02 |  0.931952 |  0.938831 |     13.44 |     12.00 |  0.265534 |  0.335810 |  9.29E-03 |     10.02 | 
|         4 |       296 |  3.12E-02 |  0.900098 |  0.938831 |     13.44 |     12.00 |  0.255488 |  0.098544 |  9.25E-03 |     10.29 | 
|         4 |       333 |  3.09E-02 |  0.927593 |  0.938831 |     13.45 |     12.01 |  0.121621 |  0.150650 |  9.21E-03 |     10.57 | 
|         4 |       370 |  3.06E-02 |  0.925293 |  0.938831 |     13.47 |     12.02 |  0.161198 |  0.076816 |  9.18E-03 |     10.84 | 
