*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Feb 17 10:12:52 2024 
|         4 |       333 |  3.52E-02 |  0.915020 |  0.942363 |     14.95 |     13.02 |  0.197450 |  0.116409 |  9.21E-03 |     10.57 | 
|         4 |       370 |  3.55E-02 |  0.928557 |  0.942363 |     14.96 |     13.03 |  0.119366 |  0.068148 |  9.18E-03 |     10.85 | 
|         4 |       407 |  3.54E-02 |  0.919935 |  0.942363 |     14.97 |     13.02 |  0.329423 |  0.152325 |  9.14E-03 |     11.14 | 
|         5 |        37 |  3.31E-02 |  0.948978 |  0.948978 |     14.95 |     12.97 |  0.663933 |  0.293752 |  9.10E-03 |     11.23 | 
|         5 |        74 |  3.29E-02 |  0.928715 |  0.948978 |     14.97 |     13.00 |  0.258922 |  0.096208 |  9.06E-03 |     11.51 | 
|         5 |       111 |  3.18E-02 |  0.932799 |  0.948978 |     14.97 |     13.00 |  0.207337 |  0.170262 |  9.02E-03 |     11.79 | 
|         5 |       148 |  3.16E-02 |  0.914761 |  0.948978 |     14.97 |     13.00 |  0.198580 |  0.083423 |  8.98E-03 |     12.07 | 
|         5 |       185 |  3.09E-02 |  0.923234 |  0.948978 |     14.97 |     12.98 |  0.383655 |  0.174273 |  8.94E-03 |     12.35 | 
|         5 |       222 |  3.20E-02 |  0.933007 |  0.948978 |     14.97 |     13.02 |  0.685820 |  0.430011 |  8.90E-03 |     12.63 | 
|         5 |       259 |  3.17E-02 |  0.909997 |  0.948978 |     14.98 |     13.02 |  0.640053 |  0.225260 |  8.86E-03 |     12.92 | 
|         5 |       296 |  3.19E-02 |  0.932881 |  0.948978 |     14.99 |     13.02 |  0.478078 |  0.127845 |  8.82E-03 |     13.20 | 
|         5 |       333 |  3.18E-02 |  0.916726 |  0.948978 |     14.99 |     13.01 |  0.255942 |  0.175050 |  8.77E-03 |     13.48 | 
|         5 |       370 |  3.13E-02 |  0.923503 |  0.948978 |     14.99 |     13.01 |  0.171468 |  0.094266 |  8.73E-03 |     13.77 | 
|         5 |       407 |  3.15E-02 |  0.938271 |  0.948978 |     14.99 |     13.01 |  0.414254 |  0.260699 |  8.68E-03 |     14.05 | 
|         6 |        37 |  2.94E-02 |  0.923404 |  0.948978 |     15.00 |     13.03 |  0.124272 |  0.080278 |  8.64E-03 |     14.15 | 
|         6 |        74 |  3.04E-02 |  0.944478 |  0.948978 |     15.00 |     13.04 |  0.227655 |  0.113265 |  8.59E-03 |     14.43 | 
|         6 |       111 |  2.92E-02 |  0.928200 |  0.948978 |     14.99 |     13.03 |  0.169490 |  0.058146 |  8.54E-03 |     14.71 | 
|         6 |       148 |  2.92E-02 |  0.905997 |  0.948978 |     14.99 |     13.02 |  0.269154 |  0.164602 |  8.50E-03 |     14.99 | 
|         6 |       185 |  2.89E-02 |  0.920689 |  0.948978 |     14.99 |     12.99 |  0.153580 |  0.056527 |  8.45E-03 |     15.28 | 
|         6 |       222 |  2.87E-02 |  0.911244 |  0.948978 |     15.00 |     13.00 |  0.325735 |  0.153817 |  8.40E-03 |     15.57 | 
|         6 |       259 |  2.85E-02 |  0.918562 |  0.948978 |     15.00 |     13.00 |  0.284023 |  0.094944 |  8.35E-03 |     15.85 | 
|         6 |       296 |  2.85E-02 |  0.915801 |  0.948978 |     15.00 |     13.00 |  0.131118 |  0.061097 |  8.30E-03 |     16.14 | 
|         6 |       333 |  2.85E-02 |  0.904569 |  0.948978 |     15.00 |     13.00 |  0.348510 |  0.174837 |  8.25E-03 |     16.42 | 
|         6 |       370 |  2.83E-02 |  0.904413 |  0.948978 |     15.00 |     13.01 |  0.256485 |  0.098046 |  8.20E-03 |     16.71 | 
|         6 |       407 |  2.81E-02 |  0.929749 |  0.948978 |     15.00 |     13.01 |  0.328340 |  0.109881 |  8.15E-03 |     17.00 | 
|         7 |        37 |  2.56E-02 |  0.908963 |  0.948978 |     15.00 |     12.97 |  0.148486 |  0.054017 |  8.09E-03 |     17.09 | 
|         7 |        74 |  2.56E-02 |  0.908097 |  0.948978 |     15.00 |     12.97 |  0.148504 |  0.103966 |  8.04E-03 |     17.37 | 
|         7 |       111 |  2.59E-02 |  0.916155 |  0.948978 |     15.00 |     12.98 |  0.130840 |  0.086929 |  7.99E-03 |     17.66 | 
|         7 |       148 |  2.66E-02 |  0.933557 |  0.948978 |     15.01 |     13.04 |  0.180163 |  0.102662 |  7.93E-03 |     17.95 | 
|         7 |       185 |  2.63E-02 |  0.919584 |  0.948978 |     15.01 |     13.05 |  0.125405 |  0.079011 |  7.88E-03 |     18.23 | 
|         7 |       222 |  2.67E-02 |  0.936250 |  0.948978 |     15.01 |     13.07 |  0.101661 |  0.055843 |  7.82E-03 |     18.52 | 
|         7 |       259 |  2.77E-02 |  0.940943 |  0.948978 |     15.02 |     13.10 |  0.233243 |  0.097323 |  7.77E-03 |     18.80 | 
|         7 |       296 |  2.76E-02 |  0.922217 |  0.948978 |     15.02 |     13.11 |  0.139331 |  0.045080 |  7.71E-03 |     19.08 | 
|         7 |       333 |  2.73E-02 |  0.908276 |  0.948978 |     15.02 |     13.11 |  0.246014 |  0.143337 |  7.66E-03 |     19.37 | 
|         7 |       370 |  2.71E-02 |  0.923459 |  0.948978 |     15.02 |     13.10 |  0.104380 |  0.067456 |  7.60E-03 |     19.66 | 
|         7 |       407 |  2.69E-02 |  0.905026 |  0.948978 |     15.02 |     13.10 |  0.203368 |  0.101242 |  7.54E-03 |     19.94 | 
|         8 |        37 |  2.44E-02 |  0.909932 |  0.948978 |     15.03 |     13.03 |  0.093833 |  0.065347 |  7.49E-03 |     20.03 | 
|         8 |        74 |  2.51E-02 |  0.921762 |  0.948978 |     15.01 |     13.04 |  0.101680 |  0.037874 |  7.43E-03 |     20.32 | 
|         8 |       111 |  2.48E-02 |  0.919514 |  0.948978 |     15.01 |     13.01 |  0.103592 |  0.065543 |  7.37E-03 |     20.61 | 
|         8 |       148 |  2.46E-02 |  0.902029 |  0.948978 |     15.01 |     13.04 |  0.292005 |  0.132180 |  7.31E-03 |     20.90 | 
|         8 |       185 |  2.47E-02 |  0.917550 |  0.948978 |     15.02 |     13.04 |  0.379909 |  0.174066 |  7.25E-03 |     21.19 | 
|         8 |       222 |  2.47E-02 |  0.902636 |  0.948978 |     15.01 |     13.05 |  0.152465 |  0.080109 |  7.19E-03 |     21.48 | 
|         8 |       259 |  2.54E-02 |  0.917739 |  0.948978 |     15.02 |     13.08 |  0.096003 |  0.061192 |  7.13E-03 |     21.77 | 
|         8 |       296 |  2.51E-02 |  0.906855 |  0.948978 |     15.02 |     13.08 |  0.160922 |  0.126743 |  7.07E-03 |     22.05 | 
|         8 |       333 |  2.49E-02 |  0.909042 |  0.948978 |     15.02 |     13.07 |  0.071579 |  0.047268 |  7.01E-03 |     22.34 | 
|         8 |       370 |  2.47E-02 |  0.911822 |  0.948978 |     15.02 |     13.06 |  0.205474 |  0.061275 |  6.95E-03 |     22.63 | 
|         8 |       407 |  2.45E-02 |  0.899102 |  0.948978 |     15.02 |     13.05 |  0.507007 |  0.198448 |  6.89E-03 |     22.91 | 
|         9 |        37 |  2.35E-02 |  0.908710 |  0.948978 |     15.03 |     12.95 |  0.105552 |  0.036021 |  6.83E-03 |     23.00 | 
|         9 |        74 |  2.30E-02 |  0.897102 |  0.948978 |     15.01 |     12.99 |  0.219153 |  0.047264 |  6.77E-03 |     23.29 | 
|         9 |       111 |  2.30E-02 |  0.886718 |  0.948978 |     15.01 |     13.01 |  0.146589 |  0.039122 |  6.71E-03 |     23.58 | 
|         9 |       148 |  2.33E-02 |  0.914117 |  0.948978 |     15.02 |     13.03 |  0.131618 |  0.055083 |  6.64E-03 |     23.87 | 
|         9 |       185 |  2.32E-02 |  0.921142 |  0.948978 |     15.03 |     13.03 |  0.106800 |  0.056595 |  6.58E-03 |     24.16 | 
|         9 |       222 |  2.33E-02 |  0.917019 |  0.948978 |     15.03 |     13.03 |  0.190539 |  0.110592 |  6.52E-03 |     24.45 | 
|         9 |       259 |  2.34E-02 |  0.909390 |  0.948978 |     15.04 |     13.04 |  0.358873 |  0.127742 |  6.46E-03 |     24.74 | 
|         9 |       296 |  2.33E-02 |  0.921645 |  0.948978 |     15.04 |     13.04 |  0.215662 |  0.143346 |  6.39E-03 |     25.02 | 
|         9 |       333 |  2.31E-02 |  0.912455 |  0.948978 |     15.04 |     13.04 |  0.132826 |  0.042849 |  6.33E-03 |     25.31 | 
|         9 |       370 |  2.30E-02 |  0.905969 |  0.948978 |     15.04 |     13.04 |  0.083685 |  0.036947 |  6.27E-03 |     25.60 | 
|         9 |       407 |  2.29E-02 |  0.899052 |  0.948978 |     15.03 |     13.03 |  0.129258 |  0.068652 |  6.20E-03 |     25.89 | 
|        10 |        37 |  2.32E-02 |  0.914915 |  0.948978 |     15.03 |     13.00 |  0.193697 |  0.062970 |  6.14E-03 |     25.98 | 
|        10 |        74 |  2.17E-02 |  0.907102 |  0.948978 |     15.01 |     13.00 |  0.153002 |  0.077891 |  6.08E-03 |     26.27 | 
|        10 |       111 |  2.19E-02 |  0.872381 |  0.948978 |     15.02 |     13.01 |  0.097461 |  0.063558 |  6.01E-03 |     26.56 | 
|        10 |       148 |  2.19E-02 |  0.911844 |  0.948978 |     15.02 |     13.01 |  0.101382 |  0.059040 |  5.95E-03 |     26.85 | 
|        10 |       185 |  2.17E-02 |  0.897960 |  0.948978 |     15.03 |     13.01 |  0.105541 |  0.059678 |  5.89E-03 |     27.14 | 
|        10 |       222 |  2.16E-02 |  0.918990 |  0.948978 |     15.03 |     13.01 |  0.151695 |  0.055732 |  5.82E-03 |     27.43 | 
|        10 |       259 |  2.15E-02 |  0.897853 |  0.948978 |     15.02 |     13.01 |  0.132963 |  0.047890 |  5.76E-03 |     27.72 | 
|        10 |       296 |  2.15E-02 |  0.907369 |  0.948978 |     15.02 |     13.01 |  0.346584 |  0.149499 |  5.69E-03 |     28.01 | 
|        10 |       333 |  2.14E-02 |  0.882275 |  0.948978 |     15.03 |     13.01 |  0.138474 |  0.030840 |  5.63E-03 |     28.30 | 
|        10 |       370 |  2.13E-02 |  0.895876 |  0.948978 |     15.04 |     13.01 |  0.099432 |  0.041444 |  5.57E-03 |     28.59 | 
|        10 |       407 |  2.12E-02 |  0.902119 |  0.948978 |     15.04 |     13.01 |  0.117776 |  0.058364 |  5.50E-03 |     28.88 | 
|        11 |        37 |  1.87E-02 |  0.901501 |  0.948978 |     15.05 |     13.00 |  0.114702 |  0.075077 |  5.44E-03 |     28.97 | 
|        11 |        74 |  1.90E-02 |  0.896027 |  0.948978 |     15.04 |     13.00 |  0.048236 |  0.032035 |  5.37E-03 |     29.26 | 
|        11 |       111 |  1.95E-02 |  0.892156 |  0.948978 |     15.04 |     13.01 |  0.138260 |  0.072072 |  5.31E-03 |     29.54 | 
|        11 |       148 |  1.92E-02 |  0.889280 |  0.948978 |     15.03 |     13.01 |  0.207849 |  0.114652 |  5.24E-03 |     29.83 | 
|        11 |       185 |  1.89E-02 |  0.885120 |  0.948978 |     15.04 |     13.01 |  0.243511 |  0.083546 |  5.18E-03 |     30.12 | 
|        11 |       222 |  1.89E-02 |  0.904061 |  0.948978 |     15.04 |     13.02 |  0.271467 |  0.126874 |  5.12E-03 |     30.41 | 
|        11 |       259 |  1.90E-02 |  0.898126 |  0.948978 |     15.05 |     13.04 |  0.117700 |  0.057301 |  5.05E-03 |     30.69 | 
|        11 |       296 |  1.86E-02 |  0.914139 |  0.948978 |     15.05 |     13.03 |  0.132835 |  0.085621 |  4.99E-03 |     30.98 | 
|        11 |       333 |  1.84E-02 |  0.908336 |  0.948978 |     15.05 |     13.04 |  0.106870 |  0.055676 |  4.92E-03 |     31.27 | 
|        11 |       370 |  1.84E-02 |  0.930082 |  0.948978 |     15.06 |     13.05 |  0.146027 |  0.076882 |  4.86E-03 |     31.55 | 
|        11 |       407 |  1.80E-02 |  0.914815 |  0.948978 |     15.06 |     13.05 |  0.090696 |  0.044555 |  4.80E-03 |     31.84 | 
|        12 |        37 |  1.52E-02 |  0.907331 |  0.948978 |     15.03 |     13.00 |  0.144149 |  0.049890 |  4.73E-03 |     31.93 | 
|        12 |        74 |  1.50E-02 |  0.914623 |  0.948978 |     15.05 |     13.05 |  0.049690 |  0.039977 |  4.67E-03 |     32.22 | 
|        12 |       111 |  1.51E-02 |  0.915495 |  0.948978 |     15.06 |     13.05 |  0.178030 |  0.091896 |  4.61E-03 |     32.50 | 
|        12 |       148 |  1.48E-02 |  0.925460 |  0.948978 |     15.09 |     13.03 |  0.110091 |  0.041457 |  4.54E-03 |     32.79 | 
|        12 |       185 |  1.44E-02 |  0.923259 |  0.948978 |     15.10 |     13.05 |  0.100434 |  0.063373 |  4.48E-03 |     33.07 | 
|        12 |       222 |  1.42E-02 |  0.918357 |  0.948978 |     15.10 |     13.05 |  0.106887 |  0.050284 |  4.42E-03 |     33.36 | 
|        12 |       259 |  1.41E-02 |  0.914350 |  0.948978 |     15.10 |     13.05 |  0.073764 |  0.041464 |  4.36E-03 |     33.64 | 
|        12 |       296 |  1.40E-02 |  0.917065 |  0.948978 |     15.11 |     13.05 |  0.207116 |  0.045333 |  4.29E-03 |     33.93 | 
|        12 |       333 |  1.39E-02 |  0.914280 |  0.948978 |     15.10 |     13.05 |  0.095472 |  0.054955 |  4.23E-03 |     34.21 | 
|        12 |       370 |  1.39E-02 |  0.932347 |  0.948978 |     15.12 |     13.07 |  0.071271 |  0.040749 |  4.17E-03 |     34.50 | 
|        12 |       407 |  1.37E-02 |  0.920273 |  0.948978 |     15.13 |     13.06 |  0.057891 |  0.034929 |  4.11E-03 |     34.78 | 
|        13 |        37 |  1.10E-02 |  0.921095 |  0.948978 |     15.16 |     13.03 |  0.086295 |  0.052834 |  4.05E-03 |     34.87 | 
|        13 |        74 |  1.20E-02 |  0.937316 |  0.948978 |     15.16 |     13.04 |  0.553928 |  0.104798 |  3.99E-03 |     35.15 | 
|        13 |       111 |  1.22E-02 |  0.923232 |  0.948978 |     15.17 |     13.05 |  0.148215 |  0.030440 |  3.93E-03 |     35.44 | 
|        13 |       148 |  1.21E-02 |  0.920514 |  0.948978 |     15.16 |     13.04 |  0.105964 |  0.046808 |  3.87E-03 |     35.72 | 
|        13 |       185 |  1.21E-02 |  0.922241 |  0.948978 |     15.17 |     13.06 |  0.073570 |  0.037544 |  3.81E-03 |     36.00 | 
|        13 |       222 |  1.20E-02 |  0.919223 |  0.948978 |     15.17 |     13.06 |  0.143831 |  0.056331 |  3.75E-03 |     36.28 | 
|        13 |       259 |  1.20E-02 |  0.928142 |  0.948978 |     15.17 |     13.07 |  0.053822 |  0.025878 |  3.69E-03 |     36.57 | 
|        13 |       296 |  1.18E-02 |  0.921889 |  0.948978 |     15.17 |     13.07 |  0.097835 |  0.038679 |  3.63E-03 |     36.85 | 
|        13 |       333 |  1.19E-02 |  0.926687 |  0.948978 |     15.17 |     13.07 |  0.205345 |  0.080708 |  3.57E-03 |     37.13 | 
|        13 |       370 |  1.18E-02 |  0.917330 |  0.948978 |     15.16 |     13.07 |  0.090879 |  0.034538 |  3.52E-03 |     37.41 | 
|        13 |       407 |  1.17E-02 |  0.918813 |  0.948978 |     15.17 |     13.07 |  0.067699 |  0.029053 |  3.46E-03 |     37.70 | 
|        14 |        37 |  1.14E-02 |  0.915631 |  0.948978 |     15.11 |     13.11 |  0.119203 |  0.053669 |  3.40E-03 |     37.79 | 
|        14 |        74 |  1.10E-02 |  0.912507 |  0.948978 |     15.15 |     13.07 |  0.062992 |  0.021355 |  3.34E-03 |     38.07 | 
|        14 |       111 |  1.10E-02 |  0.921683 |  0.948978 |     15.20 |     13.05 |  0.139931 |  0.062830 |  3.29E-03 |     38.36 | 
|        14 |       148 |  1.12E-02 |  0.928505 |  0.948978 |     15.24 |     13.07 |  0.378436 |  0.103626 |  3.23E-03 |     38.64 | 
|        14 |       185 |  1.12E-02 |  0.919275 |  0.948978 |     15.22 |     13.09 |  0.099932 |  0.056371 |  3.18E-03 |     38.92 | 
|        14 |       222 |  1.10E-02 |  0.918851 |  0.948978 |     15.22 |     13.09 |  0.056080 |  0.028647 |  3.12E-03 |     39.20 | 
