*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Feb 17 10:10:44 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  9.72E-01 |  0.938021 |  0.938021 |      9.49 |      9.43 |  0.036069 |  0.146834 |  1.00E-02 |      0.07 | 
|         1 |        74 |  1.00E+00 |  0.937339 |  0.938021 |      9.45 |      9.36 |  0.075464 |  0.336963 |  1.00E-02 |      0.31 | 
|         1 |       111 |  9.77E-01 |  0.934753 |  0.938021 |      9.59 |      9.54 |  0.046945 |  0.213778 |  1.00E-02 |      0.54 | 
|         1 |       148 |  1.00E+00 |  0.936299 |  0.938021 |      9.78 |      9.73 |  0.186498 |  0.299366 |  9.99E-03 |      0.77 | 
|         1 |       185 |  9.45E-01 |  0.933007 |  0.938021 |     10.38 |     10.24 |  0.144537 |  0.171295 |  9.99E-03 |      1.02 | 
|         1 |       222 |  8.47E-01 |  0.932721 |  0.938021 |     10.96 |     10.70 |  0.383887 |  0.267707 |  9.98E-03 |      1.30 | 
|         1 |       259 |  7.56E-01 |  0.930696 |  0.938021 |     11.50 |     11.07 |  1.009644 |  0.780177 |  9.98E-03 |      1.58 | 
|         1 |       296 |  6.88E-01 |  0.935986 |  0.938021 |     11.77 |     11.24 |  0.221366 |  0.124983 |  9.97E-03 |      1.85 | 
|         1 |       333 |  6.31E-01 |  0.924410 |  0.938021 |     12.01 |     11.34 |  0.362421 |  0.118554 |  9.96E-03 |      2.11 | 
|         1 |       370 |  5.84E-01 |  0.920594 |  0.938021 |     12.20 |     11.42 |  0.337488 |  0.273538 |  9.95E-03 |      2.38 | 
|         1 |       407 |  5.45E-01 |  0.925523 |  0.938021 |     12.36 |     11.48 |  0.426098 |  0.155643 |  9.94E-03 |      2.65 | 
|         2 |        37 |  1.35E-01 |  0.920910 |  0.938021 |     14.00 |     12.27 |  0.472044 |  0.166094 |  9.93E-03 |      2.74 | 
|         2 |        74 |  1.28E-01 |  0.918796 |  0.938021 |     14.00 |     12.49 |  0.295558 |  0.098663 |  9.92E-03 |      3.02 | 
|         2 |       111 |  1.10E-01 |  0.938833 |  0.938833 |     14.25 |     12.71 |  0.741351 |  0.388715 |  9.91E-03 |      3.29 | 
|         2 |       148 |  9.86E-02 |  0.937679 |  0.938833 |     14.41 |     12.86 |  0.177379 |  0.100820 |  9.90E-03 |      3.57 | 
|         2 |       185 |  9.25E-02 |  0.935370 |  0.938833 |     14.51 |     12.95 |  0.577727 |  0.365342 |  9.88E-03 |      3.84 | 
|         2 |       222 |  9.00E-02 |  0.935153 |  0.938833 |     14.45 |     12.95 |  0.251948 |  0.136538 |  9.87E-03 |      4.11 | 
|         2 |       259 |  8.37E-02 |  0.920973 |  0.938833 |     14.39 |     12.87 |  0.232303 |  0.139994 |  9.85E-03 |      4.37 | 
|         2 |       296 |  7.99E-02 |  0.935828 |  0.938833 |     14.35 |     12.84 |  0.542869 |  0.171092 |  9.84E-03 |      4.64 | 
|         2 |       333 |  7.64E-02 |  0.942564 |  0.942564 |     14.31 |     12.83 |  0.170946 |  0.133527 |  9.82E-03 |      4.91 | 
|         2 |       370 |  7.77E-02 |  0.943424 |  0.943424 |     14.27 |     12.82 |  0.210029 |  0.136956 |  9.80E-03 |      5.18 | 
|         2 |       407 |  7.56E-02 |  0.938046 |  0.943424 |     14.18 |     12.74 |  0.208153 |  0.083418 |  9.78E-03 |      5.44 | 
|         3 |        37 |  3.97E-02 |  0.926565 |  0.943424 |     13.68 |     12.16 |  0.212216 |  0.084936 |  9.76E-03 |      5.53 | 
|         3 |        74 |  3.74E-02 |  0.929197 |  0.943424 |     13.84 |     12.16 |  0.208335 |  0.107042 |  9.74E-03 |      5.80 | 
|         3 |       111 |  3.95E-02 |  0.887276 |  0.943424 |     13.90 |     12.21 |  0.263127 |  0.080088 |  9.72E-03 |      6.07 | 
|         3 |       148 |  3.85E-02 |  0.917871 |  0.943424 |     13.93 |     12.26 |  0.138567 |  0.092420 |  9.69E-03 |      6.34 | 
|         3 |       185 |  3.84E-02 |  0.937155 |  0.943424 |     13.93 |     12.23 |  0.156060 |  0.066832 |  9.67E-03 |      6.61 | 
|         3 |       222 |  3.77E-02 |  0.922067 |  0.943424 |     13.95 |     12.25 |  0.235186 |  0.133867 |  9.65E-03 |      6.89 | 
|         3 |       259 |  3.68E-02 |  0.921484 |  0.943424 |     13.96 |     12.24 |  0.205064 |  0.086390 |  9.62E-03 |      7.17 | 
|         3 |       296 |  3.60E-02 |  0.923996 |  0.943424 |     13.96 |     12.24 |  0.311879 |  0.189270 |  9.59E-03 |      7.44 | 
|         3 |       333 |  3.63E-02 |  0.929205 |  0.943424 |     13.97 |     12.27 |  0.251998 |  0.085140 |  9.57E-03 |      7.72 | 
|         3 |       370 |  3.67E-02 |  0.928149 |  0.943424 |     13.92 |     12.27 |  0.094960 |  0.045793 |  9.54E-03 |      7.99 | 
|         3 |       407 |  3.67E-02 |  0.918332 |  0.943424 |     13.91 |     12.27 |  0.131135 |  0.071311 |  9.51E-03 |      8.27 | 
|         4 |        37 |  3.93E-02 |  0.924294 |  0.943424 |     13.68 |     12.11 |  0.415823 |  0.122168 |  9.48E-03 |      8.35 | 
|         4 |        74 |  3.28E-02 |  0.918700 |  0.943424 |     13.42 |     12.12 |  0.732935 |  0.104919 |  9.45E-03 |      8.61 | 
|         4 |       111 |  3.44E-02 |  0.940089 |  0.943424 |     13.50 |     12.12 |  0.242571 |  0.169077 |  9.42E-03 |      8.88 | 
