*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Feb 16 19:16:05 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  1.01E+00 |  0.937022 |  0.937022 |      8.00 |      7.00 |  0.036397 |  0.146338 |  1.00E-02 |      0.13 | 
|         1 |        74 |  1.02E+00 |  0.938288 |  0.938288 |      8.00 |      7.00 |  0.058007 |  0.247045 |  1.00E-02 |      0.37 | 
|         1 |       111 |  1.00E+00 |  0.934365 |  0.938288 |      8.00 |      7.00 |  0.058328 |  0.269749 |  1.00E-02 |      0.60 | 
|         1 |       148 |  9.88E-01 |  0.938928 |  0.938928 |      8.00 |      7.00 |  0.046248 |  0.239144 |  9.99E-03 |      0.82 | 
|         1 |       185 |  9.84E-01 |  0.936943 |  0.938928 |      8.00 |      7.00 |  0.057594 |  0.186228 |  9.99E-03 |      1.05 | 
|         1 |       222 |  9.50E-01 |  0.935951 |  0.938928 |      8.00 |      7.00 |  0.152344 |  0.293963 |  9.98E-03 |      1.28 | 
|         1 |       259 |  9.02E-01 |  0.942465 |  0.942465 |      8.00 |      7.00 |  0.725008 |  0.808692 |  9.98E-03 |      1.50 | 
|         1 |       296 |  8.74E-01 |  0.948478 |  0.948478 |      8.00 |      7.00 |  0.389375 |  0.304360 |  9.97E-03 |      1.72 | 
|         1 |       333 |  8.33E-01 |  0.945108 |  0.948478 |      8.00 |      7.00 |  0.631293 |  0.493196 |  9.96E-03 |      1.95 | 
|         1 |       370 |  7.86E-01 |  0.949332 |  0.949332 |      8.00 |      7.00 |  0.363805 |  0.168289 |  9.95E-03 |      2.18 | 
|         1 |       407 |  7.54E-01 |  0.948712 |  0.949332 |      8.00 |      7.00 |  0.168714 |  0.201830 |  9.94E-03 |      2.40 | 
|         2 |        37 |  4.00E-01 |  0.946822 |  0.949332 |      8.00 |      7.00 |  0.239847 |  0.159792 |  9.93E-03 |      2.52 | 
|         2 |        74 |  3.79E-01 |  0.928799 |  0.949332 |      8.00 |      7.00 |  0.186405 |  0.150355 |  9.92E-03 |      2.75 | 
|         2 |       111 |  3.32E-01 |  0.921402 |  0.949332 |      8.00 |      7.00 |  1.763955 |  1.767983 |  9.91E-03 |      2.98 | 
|         2 |       148 |  3.06E-01 |  0.926812 |  0.949332 |      8.00 |      7.00 |  0.478937 |  0.104727 |  9.90E-03 |      3.21 | 
|         2 |       185 |  2.86E-01 |  0.909167 |  0.949332 |      8.00 |      7.00 |  0.292909 |  0.201472 |  9.88E-03 |      3.44 | 
|         2 |       222 |  2.65E-01 |  0.907368 |  0.949332 |      8.00 |      7.00 |  0.167212 |  0.117081 |  9.87E-03 |      3.67 | 
|         2 |       259 |  2.53E-01 |  0.903126 |  0.949332 |      8.00 |      7.00 |  0.630713 |  0.487004 |  9.85E-03 |      3.90 | 
|         2 |       296 |  2.40E-01 |  0.909073 |  0.949332 |      8.00 |      7.00 |  0.148918 |  0.188274 |  9.84E-03 |      4.13 | 
|         2 |       333 |  2.31E-01 |  0.920216 |  0.949332 |      8.00 |      7.00 |  0.258429 |  0.210408 |  9.82E-03 |      4.37 | 
|         2 |       370 |  2.24E-01 |  0.922199 |  0.949332 |      8.00 |      7.00 |  0.815243 |  0.169117 |  9.80E-03 |      4.60 | 
|         2 |       407 |  2.16E-01 |  0.920429 |  0.949332 |      8.00 |      7.00 |  0.128422 |  0.198231 |  9.78E-03 |      4.83 | 
|         3 |        37 |  1.48E-01 |  0.912114 |  0.949332 |      8.00 |      7.00 |  0.171684 |  0.175382 |  9.76E-03 |      4.95 | 
|         3 |        74 |  1.43E-01 |  0.895991 |  0.949332 |      8.00 |      7.00 |  0.143988 |  0.069663 |  9.74E-03 |      5.19 | 
|         3 |       111 |  1.47E-01 |  0.885506 |  0.949332 |      8.00 |      7.00 |  0.328434 |  0.111758 |  9.72E-03 |      5.42 | 
|         3 |       148 |  1.44E-01 |  0.890052 |  0.949332 |      8.00 |      7.00 |  0.147881 |  0.160328 |  9.69E-03 |      5.65 | 
|         3 |       185 |  1.39E-01 |  0.888093 |  0.949332 |      8.00 |      7.00 |  0.267575 |  0.233573 |  9.67E-03 |      5.89 | 
|         3 |       222 |  1.36E-01 |  0.885049 |  0.949332 |      8.00 |      7.00 |  0.305816 |  0.186201 |  9.65E-03 |      6.12 | 
