*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Mar  8 20:57:06 2024 
|         4 |       444 |  1.83E-02 |  0.895312 |  0.916996 |     22.83 |     20.17 |  0.125793 |  0.106396 |  9.32E-03 |     20.50 | 
|         4 |       518 |  1.93E-02 |  0.912057 |  0.916996 |     23.03 |     20.42 |  0.250307 |  0.221256 |  9.29E-03 |     21.11 | 
|         4 |       592 |  4.23E-02 |  0.910791 |  0.916996 |     23.52 |     20.99 |  0.878451 |  0.666655 |  9.25E-03 |     21.75 | 
|         4 |       666 |  4.85E-02 |  0.900356 |  0.916996 |     24.50 |     21.99 |  0.384903 |  0.321465 |  9.22E-03 |     22.53 | 
|         4 |       740 |  4.83E-02 |  0.906832 |  0.916996 |     25.85 |     23.15 |  0.201700 |  0.168147 |  9.18E-03 |     23.40 | 
|         4 |       814 |  5.38E-02 |  0.894964 |  0.916996 |     27.70 |     25.02 |  0.837797 |  0.336722 |  9.15E-03 |     24.42 | 
|         4 |       823 |  5.35E-02 |  0.896625 |  0.916996 |     27.94 |     25.28 |  0.161405 |  0.131886 |  9.14E-03 |     25.23 | 
|         5 |        74 |  1.67E-01 |  0.857242 |  0.916996 |     43.28 |     41.22 |  0.242682 |  0.181295 |  9.10E-03 |     25.55 | 
|         5 |       148 |  1.08E-01 |  0.882682 |  0.916996 |     45.58 |     43.22 |  0.218642 |  0.155463 |  9.06E-03 |     26.62 | 
|         5 |       222 |  1.09E-01 |  0.905592 |  0.916996 |     47.05 |     45.39 |  1.795086 |  1.282111 |  9.03E-03 |     27.76 | 
|         5 |       296 |  2.37E-01 |  0.877105 |  0.916996 |     43.88 |     42.27 |  0.939224 |  0.671598 |  8.99E-03 |     28.80 | 
|         5 |       370 |  3.56E-01 |  0.881075 |  0.916996 |     41.27 |     39.33 |  0.488997 |  0.409084 |  8.94E-03 |     29.44 | 
|         5 |       444 |  4.37E-01 |  0.882606 |  0.916996 |     36.41 |     34.34 |  0.564464 |  1.005884 |  8.90E-03 |     29.82 | 
|         5 |       518 |  4.98E-01 |  0.883001 |  0.916996 |     32.92 |     30.72 |  0.984909 |  0.600319 |  8.86E-03 |     30.19 | 
|         5 |       592 |  5.27E-01 |  0.882950 |  0.916996 |     30.28 |     27.98 |  0.576155 |  0.147839 |  8.82E-03 |     30.55 | 
|         5 |       666 |  5.57E-01 |  0.871938 |  0.916996 |     28.23 |     25.89 |  1.015848 |  1.455198 |  8.78E-03 |     30.93 | 
|         5 |       740 |  5.86E-01 |  0.885362 |  0.916996 |     26.63 |     24.24 |  1.153980 |  0.829897 |  8.73E-03 |     31.31 | 
|         5 |       814 |  6.03E-01 |  0.874101 |  0.916996 |     25.83 |     23.04 |  0.855863 |  0.420612 |  8.69E-03 |     31.71 | 
|         5 |       823 |  6.04E-01 |  0.871153 |  0.916996 |     25.78 |     22.93 |  0.658554 |  0.437854 |  8.68E-03 |     32.06 | 
|         6 |        74 |  7.39E-01 |  0.870488 |  0.916996 |     25.18 |     12.38 |  0.653830 |  0.359928 |  8.64E-03 |     32.24 | 
|         6 |       148 |  6.88E-01 |  0.872802 |  0.916996 |     24.81 |     13.03 |  0.256585 |  0.317212 |  8.59E-03 |     32.82 | 
|         6 |       222 |  6.36E-01 |  0.875502 |  0.916996 |     26.00 |     14.94 |  0.312818 |  0.365544 |  8.54E-03 |     33.46 | 
|         6 |       296 |  5.99E-01 |  0.877074 |  0.916996 |     27.78 |     15.58 |  0.872633 |  0.577869 |  8.50E-03 |     34.14 | 
|         6 |       370 |  2.14E+09 |  0.662862 |  0.916996 |     30.39 |     14.89 |773643960320.000000 |1398592.875000 |  8.45E-03 |     34.83 | 
|         6 |       444 |       INF |  0.885106 |  0.916996 |     30.57 |     12.78 |       nan |       nan |  8.40E-03 |     35.77 | 
-------------------------------------------------------------------------------------------------------------------------------------
